Name,2018-01-01,2018-01-02,2018-01-03,2018-01-04,2018-01-05,2018-01-06,2018-01-07,2018-01-08,2018-01-09,2018-01-10,2018-01-11,2018-01-12,2018-01-13,2018-01-14,2018-01-15,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-20,2018-01-21,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-27,2018-01-28,2018-01-29,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2018-02-03,2018-02-04,2018-02-05,2018-02-06,2018-02-07,2018-02-08,2018-02-09,2018-02-10,2018-02-11,2018-02-12,2018-02-13,2018-02-14,2018-02-15,2018-02-16,2018-02-17,2018-02-18,2018-02-19,2018-02-20,2018-02-21,2018-02-22,2018-02-23,2018-02-24,2018-02-25,2018-02-26,2018-02-27,2018-02-28,2018-03-01,2018-03-02,2018-03-03,2018-03-04,2018-03-05,2018-03-06,2018-03-07,2018-03-08,2018-03-09,2018-03-10,2018-03-11,2018-03-12,2018-03-13,2018-03-14,2018-03-15,2018-03-16,2018-03-17,2018-03-18,2018-03-19,2018-03-20,2018-03-21,2018-03-22,2018-03-23,2018-03-24,2018-03-25
ADA Cardano,0.718847,0.724676,0.7796810000000001,1.09,1.17,0.997,1.02,0.9993290000000001,0.898185,0.815872,0.7915220000000001,0.695769,0.9174100000000001,0.8819610000000001,0.7957609999999999,0.780621,0.624123,0.6312949999999999,0.649544,0.656564,0.706391,0.614983,0.566537,0.563369,0.629337,0.633903,0.6234770000000001,0.62056,0.669373,0.624799,0.527598,0.515912,0.41946000000000006,0.400965,0.43386499999999995,0.385044,0.33120900000000003,0.367267,0.344464,0.352848,0.386671,0.405104,0.372595,0.383436,0.373766,0.394671,0.410142,0.402403,0.41835500000000003,0.38693,0.390942,0.375593,0.362651,0.334758,0.343668,0.322152,0.34527199999999997,0.339132,0.334486,0.311973,0.304424,0.292952,0.29628499999999997,0.29989699999999997,0.29594699999999996,0.284674,0.24816,0.221286,0.22521599999999997,0.209721,0.224104,0.22311,0.22343000000000002,0.198755,0.186788,0.17877,0.15393099999999998,0.160749,0.193447,0.205315,0.215403,0.202298,0.188844,0.188396
BCH Bitcoin Cash,2534.82,2434.5,2700.55,2608.87,2400.74,2583.71,2784.68,2786.6,2412.36,2390.02,2891.55,2475.9,2617.66,2687.1,2541.58,2406.86,1767.58,1752.27,1740.17,1784.26,2033.7,1794.46,1623.14,1622.15,1661.04,1637.19,1602.5,1636.41,1745.36,1657.69,1470.74,1491.12,1272.5,1194.23,1273.17,1159.89,890.97,971.08,951.57,1273.87,1311.99,1255.59,1222.43,1285.23,1229.18,1358.65,1373.16,1548.48,1552.1,1483.34,1543.27,1412.85,1304.66,1217.36,1266.56,1191.35,1177.58,1255.45,1243.26,1204.84,1284.95,1274.67,1267.86,1287.1,1264.19,1205.84,1094.64,1034.69,1071.15,1002.55,1143.94,1051.07,1071.5,949.77,943.6,974.7,948.28,942.6,998.17,1066.03,1033.26,1011.83,1028.12,973.6
BTC Bitcoin,14112.2,13625.0,14978.2,15270.7,15477.2,17462.1,17527.3,16476.2,15123.7,14588.5,14968.2,13453.9,13952.4,14370.8,13767.3,13836.1,11431.1,11198.8,11429.8,11656.2,12889.2,11633.1,10944.5,10903.4,11421.7,11256.0,11174.9,11475.3,11755.5,11306.8,10108.2,10237.3,9142.28,8852.12,9175.7,8270.54,7051.75,7755.49,7637.86,8271.84,8720.08,8616.13,8141.43,8926.72,8599.92,9488.32,10135.7,10207.5,11123.4,10552.6,11231.8,11372.2,10660.4,9937.07,10287.7,9796.42,9669.43,10393.9,10687.2,10385.0,10977.4,11101.9,11497.4,11532.4,11500.1,10803.9,9951.44,9414.69,9350.59,8852.78,9602.93,9173.04,9214.65,8290.76,8322.91,8321.91,7890.52,8344.12,8619.67,8937.48,8939.44,8736.25,8901.95,8612.81
BTG Bitcoin Gold,261.63,275.42,276.12,272.43,274.58,277.45,299.6,302.28,239.06,240.88,242.69,211.64,220.42,339.06,276.37,266.35,189.88,186.79,193.12,219.16,230.64,200.12,189.89,189.04,193.06,186.69,181.63,186.81,188.89,182.33,158.34,156.89,127.89,110.16,113.64,100.92,85.27,92.59,87.58,103.91,165.33,129.86,123.46,115.41,121.63,128.19,132.26,141.13,143.5,131.54,141.19,132.13,123.28,118.7,123.89,117.83,115.21,119.85,120.36,113.07,113.57,111.61,111.65,113.06,110.76,103.09,91.5,86.96,85.72,81.08,84.67,79.72,79.1,68.53,66.25,63.2,58.61,59.83,68.39,66.36,65.35,61.85,60.72,60.0
DASH Dash,1054.07,1055.14,1208.84,1173.71,1221.63,1157.09,1266.43,1283.36,1085.75,1115.48,1103.03,1013.06,1054.88,1098.06,1006.43,937.57,758.29,800.02,833.3,853.05,928.13,825.69,763.13,757.11,788.77,793.92,782.87,777.05,811.84,767.73,678.93,698.79,616.62,589.17,637.01,545.32,454.17,524.7,520.91,606.76,639.42,633.43,582.83,622.12,593.59,679.79,702.53,699.13,744.09,687.7,728.99,688.38,669.85,631.64,631.36,594.43,591.43,622.41,615.0,584.14,616.47,602.16,610.0,620.88,613.68,578.14,511.74,492.66,499.36,483.6,531.15,499.24,487.36,425.95,418.54,426.3,388.19,392.32,412.49,429.15,434.44,411.27,432.18,420.01
ETC Ethereum Classic,28.05,34.46,34.91,34.44,36.17,36.31,38.44,41.12,34.09,38.13,36.91,33.06,36.18,42.89,42.68,40.49,28.38,29.24,30.03,32.09,35.49,30.59,29.28,28.47,29.89,29.1,28.76,29.62,33.21,31.77,27.21,28.77,24.95,23.15,24.19,20.76,16.75,19.18,18.15,21.89,25.95,24.53,24.31,29.88,34.32,34.83,34.43,34.97,35.01,34.69,39.41,38.07,36.46,32.5,37.83,38.57,36.85,36.24,36.0,33.64,33.75,30.79,29.16,29.65,26.82,25.06,22.19,22.71,22.51,20.88,21.57,20.46,19.95,17.19,18.5,17.76,16.25,16.91,19.61,20.29,19.79,19.69,19.13,18.37
ETH Ethereum,755.76,772.35,886.0,961.71,975.75,995.15,1043.01,1158.26,1146.0,1300.34,1268.09,1158.29,1270.47,1397.48,1365.21,1292.63,1061.34,1016.44,1028.82,1044.95,1155.68,1055.35,1004.17,987.48,1063.22,1052.7,1055.75,1111.78,1246.7,1184.13,1071.09,1119.37,1035.77,919.21,964.67,834.96,707.74,790.43,755.84,818.48,882.47,859.29,817.51,869.29,844.28,923.73,934.79,944.75,973.35,921.67,943.57,894.13,849.26,811.59,861.59,839.46,845.28,870.37,877.93,856.01,871.76,856.71,856.19,866.85,853.82,816.27,752.57,702.2,730.16,685.31,724.41,698.15,691.22,614.84,611.78,601.68,551.64,546.63,556.72,559.1,562.1,539.86,542.57,522.7
LSK Lisk,20.68,21.16,21.94,21.15,21.4,24.68,31.13,33.59,31.2,29.96,28.84,25.39,29.38,29.33,27.55,26.99,21.1,22.3,22.85,23.27,25.43,22.31,21.33,21.88,22.47,22.56,21.36,23.33,23.28,22.58,21.75,26.37,22.25,21.6,23.15,19.72,15.2,18.06,18.24,23.08,27.36,27.35,25.52,28.08,25.96,28.3,32.0,32.05,33.22,29.69,30.08,26.06,22.36,21.39,22.48,20.81,19.95,20.69,20.09,18.34,20.08,19.31,18.9,19.0,18.42,16.83,15.59,14.93,15.44,14.16,14.84,14.1,14.01,11.73,13.23,13.12,12.25,12.26,12.89,13.61,13.44,12.5,12.07,11.79
LTC Litecoin,231.67,228.99,255.69,245.47,241.03,249.77,296.05,287.73,254.61,248.07,251.52,229.79,236.88,260.58,237.29,232.82,190.15,186.95,191.19,194.38,211.24,191.79,180.28,178.43,181.56,179.82,176.66,181.42,193.75,181.44,165.3,163.68,142.56,131.4,160.38,148.73,127.52,142.48,138.34,149.73,163.49,155.39,150.1,161.78,159.58,212.35,225.5,229.5,230.51,215.41,223.09,230.95,212.84,194.19,210.64,208.13,222.14,221.71,217.28,203.12,209.56,213.84,210.24,213.74,210.51,196.83,185.7,176.48,188.11,177.51,189.02,177.6,175.94,161.2,164.82,165.19,152.54,155.47,161.52,169.56,168.72,163.58,168.53,158.86
MIOTA IOTA,3.56,4.09,4.0,4.13,4.06,3.75,3.95,4.07,3.84,3.56,3.78,3.38,3.7,3.93,3.72,3.47,2.6,2.72,2.75,2.71,3.01,2.78,2.47,2.52,2.46,2.36,2.38,2.46,2.52,2.59,2.22,2.31,1.9,1.81,1.98,1.75,1.48,1.62,1.61,1.78,1.96,1.86,1.71,1.87,1.82,2.03,2.12,2.1,2.2,1.99,2.09,1.9,1.75,1.61,1.75,1.77,1.82,1.88,1.97,1.85,1.98,1.91,1.86,1.9,1.87,1.7,1.53,1.4,1.4,1.31,1.39,1.34,1.31,1.12,1.1,1.1,1.14,1.24,1.33,1.45,1.37,1.33,1.35,1.31
