,Date,Open,High,Low,Close,Volume,Market Cap
0,"Dec 31, 2017",72.56,78.01,67.69,75.96,181357000,4716090000
1,"Dec 30, 2017",74.18,74.54,63.02,72.4,202377000,4821840000
2,"Dec 29, 2017",65.7,74.82,63.14,73.9,163331000,4270520000
3,"Dec 28, 2017",66.76,66.94,58.22,65.43,135592000,4339530000
4,"Dec 27, 2017",65.53,70.29,62.88,66.88,153715000,4259210000
5,"Dec 26, 2017",66.61,68.8,61.86,65.52,195466000,4329390000
6,"Dec 25, 2017",60.27,68.37,58.39,66.32,170538000,3917400000
7,"Dec 24, 2017",59.32,59.97,51.84,59.7,160158000,3855900000
8,"Dec 23, 2017",56.32,67.75,56.32,58.9,146282000,3660710000
9,"Dec 22, 2017",71.54,72.28,43.39,55.57,297579000,4650220000
10,"Dec 21, 2017",76.12,79.04,67.49,71.37,225272000,4948010000
11,"Dec 20, 2017",71.31,77.5,63.1,75.62,305912000,4634920000
12,"Dec 19, 2017",77.19,82.1,66.59,70.81,290083000,5017420000
13,"Dec 18, 2017",68.45,81.06,63.96,77.22,437849000,4449540000
14,"Dec 17, 2017",49.74,71.72,49.74,68.11,500799000,3233120000
15,"Dec 16, 2017",48.14,52.26,46.93,49.81,164723000,3129270000
16,"Dec 15, 2017",50.54,51.24,43.13,47.99,204065000,3285020000
17,"Dec 14, 2017",44.9,53.65,44.4,50.62,313147000,2918700000
18,"Dec 13, 2017",40.73,49.07,37.49,44.81,294500000,2647620000
19,"Dec 12, 2017",36.22,41.28,35.32,40.41,132796000,2354370000
20,"Dec 11, 2017",33.32,36.57,33.32,35.88,77323800,2165750000
21,"Dec 10, 2017",35.79,35.79,32.51,33.31,72133600,2326550000
22,"Dec 09, 2017",35.96,38.98,34.87,35.71,93255300,2337250000
23,"Dec 08, 2017",34.84,37.38,32.36,36.27,125450000,2264560000
24,"Dec 07, 2017",35.04,37.26,33.31,34.86,125301000,2277340000
25,"Dec 06, 2017",38.75,38.85,34.4,35.16,118745000,2518460000
26,"Dec 05, 2017",41.99,42.79,38.82,38.82,101480000,2729160000
27,"Dec 04, 2017",36.65,43.0,36.62,42.17,160430000,2382160000
28,"Dec 03, 2017",35.09,39.52,35.03,36.62,79801700,2281180000
29,"Dec 02, 2017",35.84,36.61,34.51,35.07,48991700,2329690000
30,"Dec 01, 2017",32.89,36.23,31.36,35.84,89359700,2137790000
31,"Nov 30, 2017",32.54,34.98,30.09,32.96,78895100,2115360000
32,"Nov 29, 2017",37.99,39.44,31.23,32.28,137123000,2469340000
33,"Nov 28, 2017",40.13,40.13,37.47,38.08,80129000,2608660000
34,"Nov 27, 2017",38.32,41.91,38.32,40.13,83345900,2491020000
35,"Nov 26, 2017",38.04,39.2,37.49,38.44,61597700,2472680000
36,"Nov 25, 2017",34.83,39.86,34.6,38.13,125113000,2263690000
37,"Nov 24, 2017",34.89,35.7,33.46,34.79,68977700,2267940000
38,"Nov 23, 2017",35.83,36.29,34.5,34.9,68917800,2329200000
39,"Nov 22, 2017",34.45,36.98,34.45,35.86,82378800,2239040000
40,"Nov 21, 2017",36.21,37.16,33.38,34.36,133333000,2353570000
41,"Nov 20, 2017",39.94,43.14,35.64,35.64,243906000,2596080000
42,"Nov 19, 2017",43.01,45.45,36.66,39.75,273035000,2795440000
43,"Nov 18, 2017",39.74,48.09,36.28,42.74,434827000,2583010000
44,"Nov 17, 2017",28.71,41.08,28.36,40.5,252834000,1866360000
45,"Nov 16, 2017",29.45,29.93,28.48,28.7,40895700,1913970000
46,"Nov 15, 2017",29.79,30.59,28.26,29.35,45103700,1936170000
47,"Nov 14, 2017",28.4,29.96,28.1,29.73,39436300,1845750000
48,"Nov 13, 2017",27.12,28.97,26.59,28.4,41299400,1762620000
49,"Nov 12, 2017",28.44,28.45,25.31,26.96,63588200,1848580000
50,"Nov 11, 2017",28.15,29.93,27.4,28.53,45994100,1829610000
51,"Nov 10, 2017",31.97,32.44,26.74,28.18,57756900,2078110000
52,"Nov 09, 2017",30.76,33.02,30.58,31.9,79919300,1999530000
53,"Nov 08, 2017",26.17,33.81,26.02,30.67,120273000,1700950000
54,"Nov 07, 2017",26.26,26.52,25.62,26.23,40146900,1706600000
55,"Nov 06, 2017",26.47,26.81,25.95,26.32,26798400,1720760000
56,"Nov 05, 2017",26.48,26.72,25.79,26.38,25229700,1721090000
57,"Nov 04, 2017",26.77,27.74,25.94,26.49,31870600,1739980000
58,"Nov 03, 2017",24.6,26.9,24.39,26.82,40142100,1598960000
59,"Nov 02, 2017",26.75,26.75,22.89,24.5,74455200,1738720000
60,"Nov 01, 2017",28.38,28.44,26.68,26.86,49782800,1844740000
61,"Oct 31, 2017",28.69,30.44,28.47,28.47,61688400,1864890000
62,"Oct 30, 2017",27.72,29.49,27.71,28.79,30968500,1801620000
63,"Oct 29, 2017",27.2,28.61,27.2,27.76,29736500,1360230000
