,Date,Open,High,Low,Close,Volume,Market Cap
0,"Dec 31, 2017",60.2,65.01,59.2,62.4,690938000,4441130000
1,"Dec 30, 2017",58.68,67.69,54.36,60.49,1203780000,4329060000
2,"Dec 29, 2017",56.35,60.47,53.33,58.71,876085000,4156560000
3,"Dec 28, 2017",54.44,56.64,46.41,56.23,838698000,4015530000
4,"Dec 27, 2017",55.76,56.39,52.72,54.11,539542000,4113280000
5,"Dec 26, 2017",58.22,59.99,55.42,55.95,652554000,4294180000
6,"Dec 25, 2017",54.0,59.79,51.23,58.09,976115000,3982900000
7,"Dec 24, 2017",56.71,57.37,49.0,53.64,692470000,4182730000
8,"Dec 23, 2017",50.84,60.2,50.71,57.26,913925000,3749710000
9,"Dec 22, 2017",63.27,63.27,36.35,49.48,1101630000,4665870000
10,"Dec 21, 2017",63.82,69.24,56.87,62.23,905593000,4706660000
11,"Dec 20, 2017",67.72,69.07,57.71,63.64,1025680000,4994350000
12,"Dec 19, 2017",51.96,77.75,51.3,67.75,2134470000,3831880000
13,"Dec 18, 2017",29.66,56.06,27.84,51.85,2427870000,2187330000
14,"Dec 17, 2017",29.19,30.3,28.63,29.62,399361000,2152090000
15,"Dec 16, 2017",30.15,31.53,28.48,29.0,609254000,2222900000
16,"Dec 15, 2017",20.68,32.65,17.69,30.54,1227400000,1524900000
17,"Dec 14, 2017",17.16,20.63,17.02,20.48,389613000,1264910000
18,"Dec 13, 2017",14.81,19.29,14.8,17.31,541413000,1091760000
19,"Dec 12, 2017",13.57,15.12,13.28,14.76,253559000,1000140000
20,"Dec 11, 2017",11.02,14.6,11.0,13.55,218917000,812116000
21,"Dec 10, 2017",12.09,12.09,10.74,11.05,106888000,891217000
22,"Dec 09, 2017",12.77,12.77,11.54,12.08,124125000,941021000
23,"Dec 08, 2017",12.53,13.06,11.99,12.79,153972000,923477000
24,"Dec 07, 2017",11.95,14.93,11.67,12.56,262721000,880877000
25,"Dec 06, 2017",13.12,13.14,11.86,11.96,136931000,967196000
26,"Dec 05, 2017",13.69,13.95,13.08,13.08,106446000,1009240000
27,"Dec 04, 2017",13.15,14.0,12.68,13.62,139016000,968910000
28,"Dec 03, 2017",13.03,13.68,12.49,13.15,101683000,959947000
29,"Dec 02, 2017",13.15,13.45,12.55,13.0,106410000,969375000
30,"Dec 01, 2017",12.87,13.28,12.13,13.16,77540700,948229000
31,"Nov 30, 2017",12.49,13.53,11.44,12.95,116134000,920799000
32,"Nov 29, 2017",15.44,15.44,12.27,12.45,169681000,1137980000
33,"Nov 28, 2017",14.76,15.9,14.6,15.49,248416000,1087670000
34,"Nov 27, 2017",14.69,14.95,14.22,14.79,141497000,1082680000
35,"Nov 26, 2017",14.51,15.01,14.23,14.79,115807000,1068960000
36,"Nov 25, 2017",14.37,14.82,14.09,14.49,143624000,1059050000
37,"Nov 24, 2017",13.95,14.43,13.54,14.43,153144000,1027570000
38,"Nov 23, 2017",14.22,14.22,13.81,13.95,116380000,1047380000
39,"Nov 22, 2017",14.05,14.26,13.85,14.2,91778300,1035430000
40,"Nov 21, 2017",14.8,14.94,13.46,14.15,158550000,1090630000
41,"Nov 20, 2017",14.0,15.3,14.0,14.77,160773000,1031670000
42,"Nov 19, 2017",14.01,14.11,13.66,14.03,61181300,1032340000
43,"Nov 18, 2017",13.52,14.16,13.12,14.02,116168000,996077000
44,"Nov 17, 2017",12.83,13.37,12.55,13.37,109115000,945173000
45,"Nov 16, 2017",11.68,13.9,11.63,12.89,317008000,860619000
46,"Nov 15, 2017",11.54,11.74,11.5,11.72,43757700,849764000
47,"Nov 14, 2017",11.41,11.69,11.23,11.6,73833600,840602000
48,"Nov 13, 2017",11.1,11.51,11.09,11.42,73428300,817728000
49,"Nov 12, 2017",11.59,11.66,10.89,11.11,116105000,853805000
50,"Nov 11, 2017",11.3,12.17,11.3,11.65,113139000,832533000
51,"Nov 10, 2017",11.97,12.31,11.07,11.29,131906000,881364000
52,"Nov 09, 2017",11.88,12.45,11.73,11.94,116434000,874753000
53,"Nov 08, 2017",11.18,12.12,10.99,11.91,196034000,823231000
54,"Nov 07, 2017",10.32,11.45,10.32,11.21,122951000,760320000
55,"Nov 06, 2017",10.13,11.18,10.06,10.44,116937000,745802000
56,"Nov 05, 2017",10.04,10.43,9.96,10.13,49288500,739113000
57,"Nov 04, 2017",10.31,10.4,9.82,10.05,35477100,759110000
58,"Nov 03, 2017",9.77,10.42,9.7,10.38,55018600,719701000
59,"Nov 02, 2017",9.95,10.04,9.35,9.8,54501600,732691000
60,"Nov 01, 2017",10.41,10.41,9.92,9.93,26591700,766698000
61,"Oct 31, 2017",10.38,10.88,10.35,10.45,43306600,764029000
62,"Oct 30, 2017",10.39,10.48,10.29,10.39,21781900,765031000
63,"Oct 29, 2017",10.19,10.54,10.18,10.42,40119600,750443000
64,"Oct 28, 2017",10.33,10.38,10.18,10.21,23588200,760135000
65,"Oct 27, 2017",10.56,10.63,10.26,10.3,27344700,777594000
66,"Oct 26, 2017",10.66,10.79,10.45,10.57,26461700,784784000
67,"Oct 25, 2017",10.78,10.92,10.37,10.65,48104100,793779000
68,"Oct 24, 2017",9.96,11.46,9.52,10.76,118813000,733399000
69,"Oct 23, 2017",10.59,10.6,9.75,9.96,50654800,779244000
70,"Oct 22, 2017",10.97,11.06,10.56,10.63,33890300,807214000
71,"Oct 21, 2017",11.25,11.35,10.5,10.91,56075000,828306000
72,"Oct 20, 2017",12.1,15.12,11.19,11.3,304281000,890682000
73,"Oct 19, 2017",11.46,12.22,11.35,12.07,49308300,688986000
74,"Oct 18, 2017",12.04,12.04,10.78,11.49,53960300,710326000
75,"Oct 17, 2017",11.48,12.27,11.03,12.05,57046400,677311000
76,"Oct 16, 2017",10.46,11.65,10.23,11.49,37568400,616895000
77,"Oct 15, 2017",10.64,10.66,10.09,10.44,22057700,627948000
78,"Oct 14, 2017",11.26,11.45,10.62,10.63,17709400,664129000
79,"Oct 13, 2017",11.3,11.3,10.31,11.25,44760500,666714000
80,"Oct 12, 2017",12.13,12.21,11.29,11.29,31335300,715782000
81,"Oct 11, 2017",12.04,12.29,11.87,12.13,28771600,710230000
82,"Oct 10, 2017",12.04,12.54,11.55,12.08,50232800,710536000
83,"Oct 09, 2017",11.14,12.49,10.96,12.07,57974000,657304000
84,"Oct 08, 2017",11.96,12.11,11.14,11.14,34305900,705791000
85,"Oct 07, 2017",11.67,11.94,11.51,11.94,19498800,688284000
86,"Oct 06, 2017",11.87,11.91,11.5,11.69,23341500,700544000
87,"Oct 05, 2017",11.6,11.98,10.82,11.86,67610800,684358000
88,"Oct 04, 2017",12.16,12.28,11.51,11.63,77387000,717223000
89,"Oct 03, 2017",11.91,12.12,10.78,12.12,95756400,702872000
90,"Oct 02, 2017",12.36,12.38,11.43,11.88,69789000,729062000
91,"Oct 01, 2017",11.59,12.61,11.58,12.34,162762000,683566000
92,"Sep 30, 2017",9.77,11.65,9.75,11.59,141320000,576371000
93,"Sep 29, 2017",9.96,10.0,9.15,9.77,79526300,587845000
94,"Sep 28, 2017",9.95,10.1,9.06,9.93,95333300,586983000
95,"Sep 27, 2017",9.37,9.9,9.35,9.9,59847700,552811000
96,"Sep 26, 2017",9.38,10.3,9.17,9.34,104988000,553598000
97,"Sep 25, 2017",8.03,9.6,8.03,9.36,82385100,473818000
98,"Sep 24, 2017",8.1,8.28,7.79,8.04,28266800,477945000
99,"Sep 23, 2017",7.7,8.21,7.48,8.11,40760800,454162000
100,"Sep 22, 2017",7.34,7.91,7.27,7.68,42861600,433000000
101,"Sep 21, 2017",8.77,8.81,7.34,7.38,38239000,517612000
102,"Sep 20, 2017",8.92,9.05,8.47,8.79,38916900,526414000
103,"Sep 19, 2017",9.65,9.7,8.75,8.91,66250600,569633000
104,"Sep 18, 2017",8.31,10.51,8.31,9.62,167586000,490417000
105,"Sep 17, 2017",8.19,8.79,7.59,8.27,69847200,482927000
106,"Sep 16, 2017",8.49,8.97,7.44,8.25,97992200,500809000
107,"Sep 15, 2017",7.72,9.31,5.91,8.47,242984000,455212000
108,"Sep 14, 2017",11.94,12.18,7.6,7.6,137040000,704415000
109,"Sep 13, 2017",13.45,13.53,11.6,11.94,185348000,793825000
110,"Sep 12, 2017",14.38,15.31,12.86,13.51,156187000,848364000
111,"Sep 11, 2017",12.64,14.79,12.55,14.28,165283000,745787000
112,"Sep 10, 2017",13.27,13.34,11.38,12.78,172687000,783150000
113,"Sep 09, 2017",13.4,13.63,12.46,13.32,99008100,790322000
114,"Sep 08, 2017",14.74,16.07,12.44,13.5,294169000,869878000
115,"Sep 07, 2017",11.4,14.77,10.69,14.74,195986000,672888000
116,"Sep 06, 2017",11.73,12.49,10.34,11.4,141347000,691921000
117,"Sep 05, 2017",11.07,12.07,8.77,11.71,218917000,653177000
118,"Sep 04, 2017",15.29,15.44,10.22,10.98,161203000,902407000
119,"Sep 03, 2017",16.41,16.74,14.19,15.29,98105400,967971000
120,"Sep 02, 2017",18.26,19.06,15.51,16.39,123479000,1077370000
121,"Sep 01, 2017",17.3,18.47,16.94,18.26,73618500,1020980000
122,"Aug 31, 2017",16.72,18.08,16.69,17.3,76872500,986295000
123,"Aug 30, 2017",19.05,19.05,14.58,16.84,145512000,1124200000
124,"Aug 29, 2017",16.28,20.04,16.28,19.15,216784000,960486000
125,"Aug 28, 2017",15.66,16.35,14.86,16.24,82850200,923722000
126,"Aug 27, 2017",15.42,15.86,14.74,15.7,56474400,909788000
127,"Aug 26, 2017",13.26,15.89,12.97,15.41,88172500,782374000
128,"Aug 25, 2017",13.75,13.85,12.85,13.32,26327100,811035000
129,"Aug 24, 2017",11.87,14.13,11.64,13.78,72955500,700167000
130,"Aug 23, 2017",11.05,12.47,11.04,11.9,36722000,651839000
131,"Aug 22, 2017",11.2,11.41,10.17,11.06,25086300,660585000
132,"Aug 21, 2017",11.8,11.87,10.82,11.23,29380800,696434000
133,"Aug 20, 2017",11.54,12.35,10.82,11.79,40638800,680885000
134,"Aug 19, 2017",11.62,12.36,9.69,11.64,54327300,685316000
135,"Aug 18, 2017",13.09,13.09,11.0,11.63,43226400,772302000
136,"Aug 17, 2017",14.36,14.37,12.82,13.06,50489100,847017000
137,"Aug 16, 2017",14.67,15.42,14.15,14.35,59126000,865463000
138,"Aug 15, 2017",15.01,15.3,13.83,14.68,62353100,885415000
139,"Aug 14, 2017",15.1,17.16,14.36,15.06,103750000,890836000
140,"Aug 13, 2017",13.92,15.84,12.79,15.17,75650500,821280000
141,"Aug 12, 2017",14.73,15.47,12.85,13.9,59321200,868962000
142,"Aug 11, 2017",15.63,16.36,14.33,14.73,91215900,922433000
143,"Aug 10, 2017",12.55,16.99,12.42,15.77,133259000,740715000
144,"Aug 09, 2017",11.49,12.63,11.07,12.55,52016000,677866000
145,"Aug 08, 2017",12.64,12.74,10.84,11.5,63155600,746010000
146,"Aug 07, 2017",10.03,12.84,9.88,12.65,95630200,591790000
147,"Aug 06, 2017",9.34,10.83,9.08,10.07,54977800,550855000
148,"Aug 05, 2017",8.22,9.52,7.8,9.38,42482900,484803000
149,"Aug 04, 2017",7.68,8.71,7.68,8.22,31879600,452969000
150,"Aug 03, 2017",6.42,7.86,6.17,7.65,30278900,378741000
151,"Aug 02, 2017",6.56,6.69,6.32,6.43,11978000,387234000
152,"Aug 01, 2017",6.12,6.67,5.74,6.49,20864300,361165000
153,"Jul 31, 2017",5.53,6.36,5.43,6.12,13123400,326029000
154,"Jul 30, 2017",5.77,5.84,5.46,5.53,3168030,340554000
155,"Jul 29, 2017",5.8,5.86,5.38,5.78,5188990,342217000
156,"Jul 28, 2017",6.23,6.31,5.74,5.75,7599310,367403000
157,"Jul 27, 2017",6.29,6.42,6.02,6.21,10757800,370867000
158,"Jul 26, 2017",6.14,6.49,5.28,6.26,20824500,362203000
159,"Jul 25, 2017",7.31,7.61,5.68,6.13,22782500,372639000
160,"Jul 24, 2017",6.67,7.3,6.46,7.26,12601300,339927000
161,"Jul 23, 2017",7.55,7.62,6.14,6.64,23752700,385277000
162,"Jul 22, 2017",7.81,7.99,7.48,7.52,16650500,398441000
163,"Jul 21, 2017",7.84,9.15,7.01,7.84,48210600,399824000
164,"Jul 20, 2017",5.69,7.68,5.69,7.59,33148900,289993000
165,"Jul 19, 2017",5.18,6.62,4.79,5.62,29526300,264087000
166,"Jul 18, 2017",4.41,5.35,4.27,5.18,16788400,224792000
167,"Jul 17, 2017",3.91,4.47,3.91,4.38,7531300,199276000
168,"Jul 16, 2017",3.93,4.24,3.71,3.93,5467430,200412000
169,"Jul 15, 2017",4.54,4.55,3.86,3.88,6403170,231785000
170,"Jul 14, 2017",5.11,5.18,4.47,4.53,6385700,260726000
171,"Jul 13, 2017",5.65,6.12,5.02,5.11,8076010,288266000
172,"Jul 12, 2017",4.67,5.69,4.36,5.59,11808500,-
173,"Jul 11, 2017",5.23,5.42,3.89,4.82,11515200,-
174,"Jul 10, 2017",6.42,6.75,5.03,5.38,5648270,-
