,Date,Open,High,Low,Close,Volume,Market Cap
0,"Dec 31, 2017",12.86,14.32,12.65,14.03,27243700,1269020000
1,"Dec 30, 2017",15.13,15.13,12.05,13.0,33165200,1493000000
2,"Dec 29, 2017",14.44,15.89,13.99,15.15,45160700,1425150000
3,"Dec 28, 2017",13.78,14.65,11.45,14.22,61972200,1360020000
4,"Dec 27, 2017",14.98,14.98,13.23,13.84,47212900,1477840000
5,"Dec 26, 2017",15.15,16.12,13.67,14.92,87781700,1494590000
6,"Dec 25, 2017",14.39,16.54,13.0,15.3,79274800,1420150000
7,"Dec 24, 2017",13.49,15.54,12.25,14.29,98855000,1331470000
8,"Dec 23, 2017",10.02,16.04,9.71,13.24,111333000,988665000
9,"Dec 22, 2017",12.91,13.16,7.61,9.92,57832900,1274250000
10,"Dec 21, 2017",11.22,14.27,11.17,12.93,120408000,1107160000
11,"Dec 20, 2017",11.97,12.03,10.23,11.19,52126800,1181220000
12,"Dec 19, 2017",12.76,13.32,11.46,11.99,74910100,1259130000
13,"Dec 18, 2017",11.26,14.0,10.8,12.67,139841000,1110720000
14,"Dec 17, 2017",10.58,11.76,10.45,11.26,58303400,1044250000
15,"Dec 16, 2017",9.85,10.87,9.68,10.81,40692300,972032000
16,"Dec 15, 2017",9.81,9.95,8.79,9.89,37830600,968078000
17,"Dec 14, 2017",9.45,10.04,9.14,9.78,38710200,932217000
18,"Dec 13, 2017",10.13,10.25,9.16,9.54,35347700,999159000
19,"Dec 12, 2017",10.77,10.95,9.71,10.16,57930500,1062330000
20,"Dec 11, 2017",9.21,11.41,8.86,10.73,67994100,908593000
21,"Dec 10, 2017",9.23,9.82,7.02,9.2,49244800,910546000
22,"Dec 09, 2017",9.0,10.26,8.06,9.16,40892300,887916000
23,"Dec 08, 2017",8.8,10.0,7.57,9.02,67156200,867847000
24,"Dec 07, 2017",7.57,10.88,6.9,8.84,165329000,746695000
25,"Dec 06, 2017",7.4,8.02,6.74,7.56,47240700,729668000
26,"Dec 05, 2017",7.55,7.95,7.23,7.46,41472400,744784000
27,"Dec 04, 2017",6.15,7.49,6.1,7.48,30999400,606793000
28,"Dec 03, 2017",5.92,6.52,5.69,6.12,18408000,583559000
29,"Dec 02, 2017",5.7,6.02,5.61,5.91,14753200,562162000
30,"Dec 01, 2017",5.32,5.72,5.06,5.65,14799500,524709000
31,"Nov 30, 2017",4.86,5.76,4.6,5.36,22486300,479208000
32,"Nov 29, 2017",6.5,6.72,4.64,4.82,42428800,641537000
33,"Nov 28, 2017",5.36,6.47,5.07,6.47,41317100,528620000
34,"Nov 27, 2017",4.56,5.39,4.46,5.38,21900500,449765000
35,"Nov 26, 2017",4.82,4.83,4.47,4.56,16465900,475322000
36,"Nov 25, 2017",4.25,4.91,4.24,4.79,21031200,419190000
37,"Nov 24, 2017",3.99,4.27,3.83,4.25,12298500,393780000
38,"Nov 23, 2017",3.73,4.27,3.73,4.0,18217100,367876000
39,"Nov 22, 2017",3.48,3.75,3.46,3.73,8231210,343618000
40,"Nov 21, 2017",3.49,3.88,3.27,3.46,10210100,344218000
41,"Nov 20, 2017",3.45,3.54,3.42,3.48,6356620,340139000
42,"Nov 19, 2017",3.5,3.71,3.4,3.46,9062750,344757000
43,"Nov 18, 2017",3.37,3.53,3.29,3.5,6673990,332566000
44,"Nov 17, 2017",3.3,3.57,3.22,3.36,7115310,325909000
45,"Nov 16, 2017",3.74,3.75,3.27,3.31,9418140,369318000
46,"Nov 15, 2017",3.6,3.83,3.49,3.73,11132600,354607000
47,"Nov 14, 2017",3.24,3.71,3.24,3.61,11279900,319047000
48,"Nov 13, 2017",2.87,3.27,2.86,3.22,6844240,282633000
49,"Nov 12, 2017",3.3,3.3,2.72,2.88,7494210,325278000
50,"Nov 11, 2017",3.17,3.37,3.01,3.3,6948770,312651000
51,"Nov 10, 2017",3.75,3.84,3.0,3.2,9130380,370129000
52,"Nov 09, 2017",3.54,3.9,3.53,3.75,11101300,348838000
53,"Nov 08, 2017",3.01,3.76,2.91,3.53,16903800,297266000
54,"Nov 07, 2017",3.01,3.05,2.93,3.02,4708950,296727000
55,"Nov 06, 2017",3.04,3.14,2.97,3.01,7091170,300055000
56,"Nov 05, 2017",3.0,3.15,2.89,3.04,6526060,295342000
57,"Nov 04, 2017",3.12,3.26,2.94,2.99,7783710,307484000
58,"Nov 03, 2017",2.84,3.29,2.7,3.13,10273500,279668000
59,"Nov 02, 2017",3.04,3.16,2.41,2.88,21011000,299839000
60,"Nov 01, 2017",3.36,3.4,3.04,3.08,9835120,331704000
61,"Oct 31, 2017",3.79,3.79,3.31,3.36,13957800,373355000
62,"Oct 30, 2017",4.08,4.53,3.76,3.82,13256800,402732000
63,"Oct 29, 2017",4.26,4.51,4.03,4.04,13787600,420386000
64,"Oct 28, 2017",4.39,4.61,4.21,4.29,9976150,432962000
65,"Oct 27, 2017",4.43,4.76,4.19,4.4,14107600,436841000
66,"Oct 26, 2017",4.96,5.04,3.98,4.39,30372000,488616000
67,"Oct 25, 2017",4.04,5.04,3.81,4.92,27633500,398709000
68,"Oct 24, 2017",3.35,4.03,3.23,4.0,17175100,330667000
69,"Oct 23, 2017",3.15,3.76,3.08,3.38,21784500,310956000
70,"Oct 22, 2017",3.04,3.39,2.87,3.15,9563480,299843000
71,"Oct 21, 2017",2.99,3.18,2.67,3.02,6529230,294448000
72,"Oct 20, 2017",3.09,3.29,2.94,2.96,7724320,304362000
73,"Oct 19, 2017",3.22,3.34,3.04,3.09,7054550,317024000
74,"Oct 18, 2017",3.06,3.36,2.9,3.22,14079200,301767000
75,"Oct 17, 2017",2.98,3.07,2.87,3.06,6242700,293352000
76,"Oct 16, 2017",3.01,3.09,2.8,2.98,6688310,296889000
77,"Oct 15, 2017",2.86,3.06,2.76,3.01,6180240,282387000
78,"Oct 14, 2017",3.14,3.14,2.7,2.85,7843710,309165000
79,"Oct 13, 2017",3.13,3.34,3.0,3.14,8455320,308920000
80,"Oct 12, 2017",3.52,3.52,3.12,3.12,8527240,346797000
81,"Oct 11, 2017",3.41,3.59,3.4,3.51,4683540,335756000
82,"Oct 10, 2017",3.36,3.57,3.32,3.4,4880590,331471000
83,"Oct 09, 2017",3.53,3.71,3.15,3.35,7796190,347588000
84,"Oct 08, 2017",3.9,4.14,3.45,3.51,9186260,384053000
85,"Oct 07, 2017",3.69,4.02,3.54,3.92,7693060,363891000
86,"Oct 06, 2017",3.55,3.86,3.55,3.69,3894190,350388000
87,"Oct 05, 2017",3.64,3.69,3.44,3.56,3814770,359209000
88,"Oct 04, 2017",3.8,3.98,3.52,3.64,7099310,374747000
89,"Oct 03, 2017",3.91,4.01,3.38,3.81,13060300,385143000
90,"Oct 02, 2017",4.12,4.32,3.8,3.91,8607690,406341000
91,"Oct 01, 2017",4.47,4.52,4.09,4.13,7993490,440100000
92,"Sep 30, 2017",4.47,4.62,4.4,4.44,6061940,440203000
93,"Sep 29, 2017",4.78,4.88,4.39,4.47,7038430,471559000
94,"Sep 28, 2017",4.77,5.04,4.69,4.79,7847200,469867000
95,"Sep 27, 2017",4.4,4.84,4.36,4.77,7465230,433440000
96,"Sep 26, 2017",4.23,4.56,4.12,4.39,6399530,416859000
97,"Sep 25, 2017",3.98,4.29,3.96,4.25,4692290,392654000
98,"Sep 24, 2017",4.19,4.22,3.95,3.97,2751840,412920000
99,"Sep 23, 2017",3.94,4.32,3.88,4.23,3462380,388161000
100,"Sep 22, 2017",4.03,4.25,3.79,3.93,4174410,397230000
101,"Sep 21, 2017",4.73,4.78,3.91,4.03,6825670,466613000
102,"Sep 20, 2017",4.84,5.42,4.68,4.75,8585630,476755000
103,"Sep 19, 2017",5.35,5.37,4.8,4.85,8821170,527507000
104,"Sep 18, 2017",4.46,5.63,4.45,5.37,12693200,439359000
105,"Sep 17, 2017",4.39,4.66,4.05,4.44,3432560,432583000
106,"Sep 16, 2017",4.61,4.81,4.17,4.39,4687280,454539000
107,"Sep 15, 2017",3.8,4.67,3.04,4.62,8004530,374266000
108,"Sep 14, 2017",5.01,5.08,3.75,3.78,6121560,494028000
109,"Sep 13, 2017",5.51,5.53,4.56,5.01,6572450,543119000
110,"Sep 12, 2017",5.62,5.88,5.31,5.53,8270520,553334000
111,"Sep 11, 2017",5.86,6.09,5.52,5.6,5037870,577080000
112,"Sep 10, 2017",5.73,6.04,5.35,5.86,8637120,564937000
113,"Sep 09, 2017",5.72,5.79,5.5,5.76,3496720,563845000
114,"Sep 08, 2017",6.16,6.41,5.37,5.71,8651120,607162000
115,"Sep 07, 2017",6.2,6.25,5.86,6.17,6362780,611117000
116,"Sep 06, 2017",6.07,6.57,5.98,6.22,5768010,597983000
117,"Sep 05, 2017",5.79,6.23,5.11,6.03,8514110,570643000
118,"Sep 04, 2017",6.61,6.74,5.35,5.77,14669700,651334000
119,"Sep 03, 2017",6.36,6.59,5.99,6.59,8487740,626826000
120,"Sep 02, 2017",7.27,7.27,6.18,6.34,11500400,716038000
121,"Sep 01, 2017",7.28,7.78,6.97,7.25,22610800,717199000
122,"Aug 31, 2017",7.27,7.63,7.11,7.28,15100200,716572000
123,"Aug 30, 2017",6.84,7.35,6.72,7.33,12604000,674382000
124,"Aug 29, 2017",7.27,7.29,6.49,6.96,18303600,715769000
125,"Aug 28, 2017",6.93,7.58,6.62,7.24,19477300,683032000
126,"Aug 27, 2017",6.3,7.63,6.29,6.97,24137600,620679000
127,"Aug 26, 2017",6.04,6.4,5.89,6.3,13291900,594785000
128,"Aug 25, 2017",6.03,6.16,5.79,6.06,13223700,593706000
129,"Aug 24, 2017",5.93,6.41,5.9,6.0,14075900,583904000
130,"Aug 23, 2017",5.67,6.93,5.55,5.88,35363700,558913000
131,"Aug 22, 2017",5.42,5.68,4.79,5.68,11947300,533582000
132,"Aug 21, 2017",5.72,5.78,5.27,5.47,14688000,563415000
133,"Aug 20, 2017",5.66,5.96,5.43,5.73,13936500,557626000
134,"Aug 19, 2017",5.61,5.67,4.87,5.66,17616500,552835000
135,"Aug 18, 2017",6.12,6.19,5.36,5.62,15643400,602570000
136,"Aug 17, 2017",6.1,6.52,5.83,6.15,18775000,600694000
137,"Aug 16, 2017",6.13,6.62,5.97,6.05,19390300,603644000
138,"Aug 15, 2017",6.06,7.05,5.64,6.09,29168700,596646000
139,"Aug 14, 2017",6.53,6.81,5.47,6.05,25360200,643558000
140,"Aug 13, 2017",6.73,7.38,6.21,6.52,24769900,662468000
141,"Aug 12, 2017",7.61,7.83,6.49,6.79,25362400,750072000
142,"Aug 11, 2017",8.07,8.25,7.45,7.58,24356200,794844000
143,"Aug 10, 2017",7.49,8.87,7.2,7.91,39078900,737685000
144,"Aug 09, 2017",7.84,7.93,7.33,7.53,15452600,771777000
145,"Aug 08, 2017",7.63,8.34,7.45,7.87,21843100,751997000
146,"Aug 07, 2017",6.75,7.71,6.56,7.62,19820000,664642000
147,"Aug 06, 2017",7.13,7.42,6.68,6.72,12383900,701954000
148,"Aug 05, 2017",6.6,7.49,6.58,7.12,22170600,650402000
149,"Aug 04, 2017",6.04,6.62,5.86,6.61,13083500,595242000
150,"Aug 03, 2017",5.61,6.08,5.53,6.04,9794660,552183000
151,"Aug 02, 2017",5.91,6.0,5.4,5.57,9212420,582364000
152,"Aug 01, 2017",5.02,5.98,4.94,5.92,12038300,494159000
153,"Jul 31, 2017",4.84,5.13,4.66,5.0,8754770,476325000
154,"Jul 30, 2017",5.2,5.2,4.75,4.85,8457590,511780000
155,"Jul 29, 2017",4.59,5.22,4.4,5.22,11185800,451636000
156,"Jul 28, 2017",5.0,5.04,4.33,4.61,15690500,491910000
157,"Jul 27, 2017",5.11,5.34,4.74,4.97,10071100,503595000
158,"Jul 26, 2017",4.83,5.37,4.57,5.06,12565800,475864000
159,"Jul 25, 2017",5.76,5.92,4.31,4.82,20657700,567608000
160,"Jul 24, 2017",6.16,6.35,5.65,5.77,10593700,607093000
