,Date,Open,High,Low,Close,Volume,Market Cap
0,"Dec 31, 2017",2376.96,2627.95,2350.03,2533.01,1300820000,40134900000
1,"Dec 30, 2017",2791.55,2791.55,2329.47,2392.41,1257760000,47129800000
2,"Dec 29, 2017",2587.3,2922.41,2389.04,2779.95,2479420000,43677000000
3,"Dec 28, 2017",2888.64,2896.78,2481.3,2566.64,3221300000,48758700000
4,"Dec 27, 2017",3108.32,3108.32,2771.05,2889.52,1406450000,52461200000
5,"Dec 26, 2017",2947.74,3112.64,2915.8,3108.89,1544430000,49745700000
6,"Dec 25, 2017",2929.35,3099.62,2755.6,2954.69,1355440000,49430800000
7,"Dec 24, 2017",3260.55,3260.55,2573.44,2903.12,1712160000,55013200000
8,"Dec 23, 2017",2746.95,3479.71,2684.82,3257.08,2843310000,46342000000
9,"Dec 22, 2017",3324.0,3369.55,1938.36,2696.69,3877770000,56071800000
10,"Dec 21, 2017",3909.0,3909.0,3038.01,3267.17,3664330000,65933700000
11,"Dec 20, 2017",2825.03,4355.62,2825.03,3923.07,11889600000,47644600000
12,"Dec 19, 2017",2199.06,2918.93,2160.92,2805.89,3913340000,37083300000
13,"Dec 18, 2017",1869.21,2353.64,1799.12,2196.64,2538650000,31516900000
14,"Dec 17, 2017",1812.33,1939.93,1806.65,1862.88,1020590000,30554500000
15,"Dec 16, 2017",1824.85,1890.06,1769.5,1801.88,971255000,30762600000
16,"Dec 15, 2017",1974.66,1974.66,1678.06,1815.43,1457230000,33284800000
17,"Dec 14, 2017",1600.67,2080.41,1593.15,1966.14,2717410000,26977700000
18,"Dec 13, 2017",1616.99,1702.53,1497.94,1607.65,1245190000,27249600000
19,"Dec 12, 2017",1427.38,1638.29,1427.38,1615.03,1386250000,24051800000
20,"Dec 11, 2017",1320.0,1453.49,1316.85,1423.38,922792000,22239900000
21,"Dec 10, 2017",1411.84,1411.84,1226.21,1323.07,885886000,23784900000
22,"Dec 09, 2017",1464.63,1526.4,1353.9,1410.06,1059610000,24671600000
23,"Dec 08, 2017",1329.16,1731.32,1247.93,1464.13,2553980000,22386700000
24,"Dec 07, 2017",1430.71,1454.73,1323.75,1330.93,1285210000,24095900000
25,"Dec 06, 2017",1498.49,1530.65,1396.16,1430.1,1154620000,25234400000
26,"Dec 05, 2017",1580.16,1623.16,1498.0,1501.85,1032800000,26606900000
27,"Dec 04, 2017",1560.16,1580.11,1498.98,1576.92,780634000,26267300000
28,"Dec 03, 2017",1435.36,1649.3,1420.6,1559.93,1476740000,24163600000
29,"Dec 02, 2017",1462.06,1502.37,1415.49,1434.98,574510000,24610500000
30,"Dec 01, 2017",1381.81,1482.68,1300.46,1462.68,965151000,23257100000
31,"Nov 30, 2017",1380.36,1468.75,1222.1,1389.78,1211730000,23230400000
32,"Nov 29, 2017",1541.63,1673.23,1332.14,1359.71,2345250000,25941800000
33,"Nov 28, 2017",1621.17,1629.48,1543.08,1546.18,1274880000,27277200000
34,"Nov 27, 2017",1722.93,1742.4,1607.79,1622.57,1391460000,28986800000
35,"Nov 26, 2017",1571.39,1758.61,1563.35,1735.66,1593050000,26434500000
36,"Nov 25, 2017",1634.0,1656.55,1535.77,1571.27,1560040000,27484900000
37,"Nov 24, 2017",1651.86,1782.83,1575.76,1648.51,3128960000,27782400000
38,"Nov 23, 2017",1302.23,1683.81,1299.95,1683.81,4112090000,21899400000
39,"Nov 22, 2017",1175.06,1335.25,1171.6,1303.31,1517620000,19758600000
40,"Nov 21, 2017",1220.78,1224.15,1140.88,1176.97,772859000,20525100000
41,"Nov 20, 2017",1172.43,1236.01,1167.28,1236.01,800053000,19710200000
42,"Nov 19, 2017",1260.95,1262.34,1144.08,1172.05,1285910000,21196200000
43,"Nov 18, 2017",1197.43,1388.11,1197.43,1254.53,3053770000,20125900000
44,"Nov 17, 2017",909.16,1217.42,863.98,1185.48,3203430000,15279000000
45,"Nov 16, 2017",1202.17,1210.36,876.57,900.78,2034690000,20202000000
46,"Nov 15, 2017",1269.79,1326.39,1191.98,1212.4,1321780000,21335600000
47,"Nov 14, 2017",1346.73,1390.21,1211.39,1273.53,1697910000,22626200000
48,"Nov 13, 2017",1381.82,1501.16,1043.0,1353.99,4850570000,23214700000
49,"Nov 12, 2017",1346.97,2477.65,1215.58,1388.86,8371320000,22614400000
50,"Nov 11, 2017",1001.64,1403.66,910.72,1340.45,5139770000,16807400000
51,"Nov 10, 2017",651.77,1034.77,651.77,1007.42,5195420000,10933000000
52,"Nov 09, 2017",622.31,670.14,619.26,654.3,710387000,10437700000
53,"Nov 08, 2017",615.24,646.38,565.6,622.46,837646000,10317500000
54,"Nov 07, 2017",602.68,626.21,602.45,616.3,375367000,10105200000
55,"Nov 06, 2017",630.31,657.34,602.65,602.65,794105000,10566600000
56,"Nov 05, 2017",619.91,635.72,579.13,630.7,816028000,10390900000
57,"Nov 04, 2017",635.35,642.05,571.12,620.45,1161370000,10647200000
58,"Nov 03, 2017",587.32,684.53,577.86,625.32,1682210000,9839760000
59,"Nov 02, 2017",527.68,610.39,514.52,587.22,1632060000,8840010000
60,"Nov 01, 2017",438.3,538.26,437.91,531.83,1152230000,7342250000
61,"Oct 31, 2017",449.37,454.07,431.76,439.05,343799000,7527260000
62,"Oct 30, 2017",458.45,478.42,417.62,448.23,796409000,7679000000
63,"Oct 29, 2017",420.47,526.12,408.4,451.92,2002440000,7042260000
64,"Oct 28, 2017",369.54,425.44,369.06,423.35,781037000,6183520000
65,"Oct 27, 2017",338.3,372.81,338.24,367.57,501989000,5655870000
66,"Oct 26, 2017",332.11,350.94,331.21,338.2,234967000,5550700000
67,"Oct 25, 2017",326.59,334.38,320.38,332.13,151935000,5457720000
68,"Oct 24, 2017",315.9,340.45,311.48,326.89,267442000,5278410000
69,"Oct 23, 2017",330.67,332.28,309.87,315.6,191558000,5524790000
70,"Oct 22, 2017",323.5,355.52,323.5,331.66,355546000,5405020000
71,"Oct 21, 2017",326.75,328.45,317.46,323.36,129938000,5458980000
72,"Oct 20, 2017",330.9,332.98,323.08,327.44,160204000,5527860000
73,"Oct 19, 2017",339.27,339.27,326.27,330.81,195578000,5667070000
74,"Oct 18, 2017",373.65,376.18,313.77,339.17,477184000,6240990000
75,"Oct 17, 2017",313.7,394.96,309.64,371.73,1008160000,5239520000
76,"Oct 16, 2017",315.26,318.02,310.52,313.64,117797000,5265400000
77,"Oct 15, 2017",322.42,323.59,307.68,314.95,133385000,5384760000
78,"Oct 14, 2017",321.54,327.42,317.35,321.96,164137000,5369720000
79,"Oct 13, 2017",314.15,323.08,304.38,321.46,288210000,5242630000
80,"Oct 12, 2017",315.47,330.13,310.71,313.21,262066000,5262390000
81,"Oct 11, 2017",320.2,321.26,312.13,314.9,131577000,5341000000
82,"Oct 10, 2017",313.22,352.02,311.7,321.59,367809000,5224170000
83,"Oct 09, 2017",342.76,342.76,289.04,314.16,288075000,5716320000
84,"Oct 08, 2017",360.09,362.46,337.0,342.21,203754000,6004940000
85,"Oct 07, 2017",363.6,364.88,356.06,360.78,91004000,6062860000
86,"Oct 06, 2017",355.44,371.28,354.96,363.01,182031000,5926540000
87,"Oct 05, 2017",358.42,371.19,348.45,355.75,268341000,5971260000
88,"Oct 04, 2017",404.2,404.45,354.55,358.45,251584000,6729640000
89,"Oct 03, 2017",421.79,421.79,395.74,404.18,130247000,7022370000
90,"Oct 02, 2017",415.87,430.86,411.84,421.19,219590000,6921580000
91,"Oct 01, 2017",433.38,436.94,415.15,415.15,164290000,7207770000
92,"Sep 30, 2017",436.64,445.62,432.53,432.63,150565000,7258880000
93,"Sep 29, 2017",447.66,447.92,426.99,436.77,148725000,7441960000
94,"Sep 28, 2017",456.71,465.2,433.5,447.81,300421000,7592000000
95,"Sep 27, 2017",441.86,460.0,439.41,457.31,197885000,7343490000
96,"Sep 26, 2017",445.36,458.25,441.83,441.83,165303000,7400020000
97,"Sep 25, 2017",419.65,450.13,419.65,445.8,302272000,6971280000
98,"Sep 24, 2017",428.8,433.04,419.25,421.03,114527000,7121950000
99,"Sep 23, 2017",415.31,432.96,407.45,428.5,189127000,6895970000
100,"Sep 22, 2017",417.92,435.44,402.77,415.09,241905000,6937170000
101,"Sep 21, 2017",475.83,480.0,413.75,416.26,316731000,7898300000
102,"Sep 20, 2017",526.74,527.72,471.09,476.05,669264000,8741670000
103,"Sep 19, 2017",480.64,550.41,450.05,527.88,802321000,7975010000
104,"Sep 18, 2017",422.09,479.69,422.09,479.32,458550000,7001640000
105,"Sep 17, 2017",438.9,438.9,384.06,419.86,221828000,7279520000
106,"Sep 16, 2017",424.49,450.98,388.2,440.22,313583000,7039590000
107,"Sep 15, 2017",369.49,448.39,301.69,424.02,707231000,6126800000
108,"Sep 14, 2017",504.22,510.47,367.04,367.04,257431000,8359650000
109,"Sep 13, 2017",509.47,519.2,471.22,503.61,340344000,8445540000
110,"Sep 12, 2017",539.03,559.22,505.01,510.41,273825000,8934220000
111,"Sep 11, 2017",537.19,556.25,515.67,537.81,274712000,8902570000
112,"Sep 10, 2017",546.48,546.75,484.09,537.07,289508000,9055430000
113,"Sep 09, 2017",584.73,586.18,539.15,547.47,234578000,9688150000
114,"Sep 08, 2017",654.37,687.3,557.5,583.1,809763000,10840500000
115,"Sep 07, 2017",636.85,707.98,603.5,652.86,1082380000,10548500000
116,"Sep 06, 2017",541.28,642.69,539.96,638.18,693240000,8964700000
117,"Sep 05, 2017",514.9,550.95,458.78,541.71,338978000,8527100000
118,"Sep 04, 2017",608.26,608.26,500.75,517.24,328957000,10072200000
119,"Sep 03, 2017",578.27,617.41,563.59,607.43,344862000,9574520000
120,"Sep 02, 2017",621.96,642.05,560.58,575.9,350478000,10297000000
121,"Sep 01, 2017",588.4,645.52,586.73,622.17,393839000,9740460000
122,"Aug 31, 2017",576.25,603.69,572.14,588.17,298144000,9538750000
123,"Aug 30, 2017",549.32,604.69,535.92,575.21,443856000,9092300000
124,"Aug 29, 2017",596.13,599.3,528.32,552.93,370017000,9866110000
125,"Aug 28, 2017",619.7,626.88,595.52,596.18,216273000,10254800000
126,"Aug 27, 2017",625.89,654.87,589.63,620.9,402718000,10357000000
127,"Aug 26, 2017",641.88,646.93,622.36,625.32,193414000,10616100000
128,"Aug 25, 2017",627.06,665.41,624.3,641.05,348632000,10365600000
129,"Aug 24, 2017",670.03,697.32,617.31,628.11,407177000,11071100000
130,"Aug 23, 2017",690.96,715.67,651.32,669.4,501983000,11416800000
131,"Aug 22, 2017",596.19,734.88,570.27,690.88,1393260000,9844620000
132,"Aug 21, 2017",723.7,756.59,573.47,599.63,1123400000,11943100000
133,"Aug 20, 2017",772.42,858.96,683.94,712.87,1494020000,12742600000
134,"Aug 19, 2017",697.04,1091.97,625.16,754.56,3196230000,11498100000
135,"Aug 18, 2017",458.67,764.07,458.67,690.24,3087490000,7565590000
136,"Aug 17, 2017",301.02,460.53,293.1,460.53,744605000,4964980000
137,"Aug 16, 2017",297.97,307.62,290.21,300.21,106436000,4914350000
138,"Aug 15, 2017",298.19,306.52,292.88,297.86,133924000,4917480000
139,"Aug 14, 2017",296.1,327.39,293.5,297.68,174968000,4882720000
140,"Aug 13, 2017",316.29,317.47,298.05,298.05,120722000,5215330000
141,"Aug 12, 2017",327.82,341.85,313.7,317.09,126007000,5405200000
142,"Aug 11, 2017",275.88,351.16,275.02,328.24,233971000,4548600000
