,Date,Open,High,Low,Close,Volume,Market Cap
0,"Dec 31, 2017",250.12,267.88,249.06,261.72,78952100,4186100000
1,"Dec 30, 2017",281.12,281.62,248.57,251.51,96001300,4704380000
2,"Dec 29, 2017",285.77,291.3,267.74,280.58,114615000,4781710000
3,"Dec 28, 2017",318.78,318.78,274.29,284.34,134169000,5333490000
4,"Dec 27, 2017",307.59,330.97,300.93,317.88,135077000,5145590000
5,"Dec 26, 2017",305.83,316.28,299.03,307.29,110025000,5115710000
6,"Dec 25, 2017",307.49,312.0,295.27,309.33,104619000,5142770000
7,"Dec 24, 2017",334.55,334.55,289.77,305.22,144898000,5594770000
8,"Dec 23, 2017",308.76,354.89,306.0,334.56,217778000,5162850000
9,"Dec 22, 2017",416.44,416.75,259.88,305.73,313313000,6962700000
10,"Dec 21, 2017",449.75,460.87,369.17,406.77,352178000,7518780000
11,"Dec 20, 2017",354.38,488.57,348.56,453.45,983169000,5923720000
12,"Dec 19, 2017",319.81,367.33,316.07,355.18,413363000,5345270000
13,"Dec 18, 2017",300.0,332.56,281.7,319.53,313797000,5013620000
14,"Dec 17, 2017",297.61,306.58,294.5,300.49,120807000,4973110000
15,"Dec 16, 2017",297.06,313.0,292.14,296.4,136415000,4963500000
16,"Dec 15, 2017",316.87,316.87,277.86,297.84,175999000,5293820000
17,"Dec 14, 2017",271.43,352.55,270.45,316.95,467875000,4534150000
18,"Dec 13, 2017",276.11,285.06,254.1,271.45,221863000,4611860000
19,"Dec 12, 2017",254.35,294.19,251.87,275.44,205849000,4247980000
20,"Dec 11, 2017",229.33,288.68,229.19,254.45,265127000,3829550000
21,"Dec 10, 2017",244.97,245.99,195.87,228.87,140891000,4090460000
22,"Dec 09, 2017",260.84,263.1,230.1,243.1,105017000,4354930000
23,"Dec 08, 2017",253.71,278.26,248.08,261.16,178502000,4235360000
24,"Dec 07, 2017",279.03,279.76,250.23,251.64,137885000,4657540000
25,"Dec 06, 2017",305.66,305.93,270.91,279.89,156602000,5101520000
26,"Dec 05, 2017",329.47,329.47,303.18,304.69,113206000,5498370000
27,"Dec 04, 2017",322.01,339.83,316.34,328.38,130453000,5373320000
28,"Dec 03, 2017",298.84,347.78,294.44,320.66,252844000,4986080000
29,"Dec 02, 2017",311.51,315.05,295.88,299.07,88196700,5196890000
30,"Dec 01, 2017",304.34,315.75,288.14,311.64,134598000,5076660000
31,"Nov 30, 2017",294.33,323.56,269.03,304.63,151331000,4909140000
32,"Nov 29, 2017",329.4,360.75,287.73,295.41,252313000,5493510000
33,"Nov 28, 2017",359.36,360.12,325.56,329.78,101004000,5992370000
34,"Nov 27, 2017",370.18,387.88,353.67,359.25,129160000,6172140000
35,"Nov 26, 2017",355.72,366.79,334.74,366.79,141228000,5930460000
36,"Nov 25, 2017",394.04,394.04,339.1,356.04,208662000,-
37,"Nov 24, 2017",295.75,413.74,284.26,394.22,537472000,-
38,"Nov 23, 2017",241.97,299.89,241.97,293.61,154038000,-
39,"Nov 22, 2017",264.18,275.05,232.92,241.72,111451000,-
40,"Nov 21, 2017",250.85,364.78,201.9,267.21,370782000,-
41,"Nov 20, 2017",135.2,247.1,105.79,236.37,93826900,-
42,"Nov 19, 2017",154.91,155.55,133.96,135.69,19503400,-
43,"Nov 18, 2017",153.07,172.45,151.79,155.73,24642900,-
44,"Nov 17, 2017",138.75,165.94,133.05,152.02,24935100,-
45,"Nov 16, 2017",161.87,181.33,136.4,140.78,27949200,-
46,"Nov 15, 2017",160.54,187.28,151.47,161.69,30094100,-
47,"Nov 14, 2017",253.22,253.22,154.05,159.94,39340400,-
48,"Nov 13, 2017",277.0,307.26,218.34,249.22,45916500,-
49,"Nov 12, 2017",421.75,465.62,281.55,282.41,90339900,-
50,"Nov 11, 2017",213.12,509.81,213.12,427.13,187191000,-
51,"Nov 10, 2017",157.49,213.4,155.39,213.4,36198500,-
52,"Nov 09, 2017",140.51,156.66,138.23,156.66,13140500,-
53,"Nov 08, 2017",153.13,159.34,135.21,139.39,12513700,-
54,"Nov 07, 2017",149.25,159.22,149.25,153.35,7219510,-
55,"Nov 06, 2017",165.49,170.19,148.12,148.77,10901900,-
56,"Nov 05, 2017",141.79,175.96,140.0,165.76,16915700,-
57,"Nov 04, 2017",131.6,144.41,128.28,142.17,9145650,-
58,"Nov 03, 2017",126.35,137.29,123.55,131.76,8035790,-
59,"Nov 02, 2017",144.9,147.03,122.97,127.51,12020600,-
60,"Nov 01, 2017",157.03,159.76,140.55,144.88,14898100,-
61,"Oct 31, 2017",133.84,164.55,132.16,156.73,18906800,-
62,"Oct 30, 2017",138.65,138.65,126.42,132.8,6730380,-
63,"Oct 29, 2017",115.92,139.26,115.21,139.18,11295300,-
64,"Oct 28, 2017",120.52,123.43,106.18,115.82,5635800,-
65,"Oct 27, 2017",137.24,137.98,118.33,120.66,8217860,-
66,"Oct 26, 2017",137.03,143.64,121.05,136.23,11556600,-
67,"Oct 25, 2017",143.15,165.8,125.83,137.09,16040700,-
68,"Oct 24, 2017",498.44,500.75,141.09,142.92,23301700,-
69,"Oct 23, 2017",479.82,539.72,479.82,500.13,7652060,-
