,Date,Open,High,Low,Close,Volume,Market Cap
0,"Dec 31, 2017",26.74,28.43,26.64,28.0,169331000,2640600000
1,"Dec 30, 2017",30.04,30.04,26.25,26.92,241645000,2965900000
2,"Dec 29, 2017",29.65,30.67,28.16,30.03,239663000,2926400000
3,"Dec 28, 2017",32.16,32.24,28.28,29.53,307104000,3173780000
4,"Dec 27, 2017",32.83,33.22,31.26,32.14,217743000,3239130000
5,"Dec 26, 2017",32.46,33.99,31.97,32.9,317646000,3201840000
6,"Dec 25, 2017",30.91,32.44,30.69,32.35,258235000,3047860000
7,"Dec 24, 2017",33.0,33.0,28.22,30.78,316553000,3253910000
8,"Dec 23, 2017",31.54,35.14,31.13,32.73,385223000,3109180000
9,"Dec 22, 2017",42.42,42.68,23.76,30.96,817384000,4180300000
10,"Dec 21, 2017",43.86,47.77,39.69,42.1,825239000,4321050000
11,"Dec 20, 2017",40.37,44.86,37.32,44.05,920793000,3976420000
12,"Dec 19, 2017",39.41,46.24,38.61,40.27,931713000,3880300000
13,"Dec 18, 2017",34.85,42.4,32.53,39.4,1072100000,3431130000
14,"Dec 17, 2017",34.78,36.41,34.2,34.79,428826000,3423520000
15,"Dec 16, 2017",32.03,39.02,31.3,34.78,1104770000,3151410000
16,"Dec 15, 2017",32.02,32.7,28.47,32.09,526730000,3150230000
17,"Dec 14, 2017",29.64,34.07,29.61,31.96,632755000,2914580000
18,"Dec 13, 2017",30.29,33.24,27.95,29.72,688511000,2978500000
19,"Dec 12, 2017",27.75,33.39,27.42,30.32,819045000,2728370000
20,"Dec 11, 2017",26.48,29.43,26.48,27.64,470359000,2602010000
21,"Dec 10, 2017",29.22,29.22,24.2,26.51,463748000,2870390000
22,"Dec 09, 2017",29.77,33.05,26.72,29.09,585616000,2923310000
23,"Dec 08, 2017",26.89,30.05,25.45,30.05,581400000,2639940000
24,"Dec 07, 2017",27.9,30.04,26.77,26.82,449013000,2738670000
25,"Dec 06, 2017",30.49,30.51,27.31,27.86,407100000,2991890000
26,"Dec 05, 2017",30.4,31.23,29.58,30.39,331677000,2981630000
27,"Dec 04, 2017",30.44,30.88,29.62,30.4,274351000,2984910000
28,"Dec 03, 2017",30.77,31.79,29.87,30.46,401675000,3016140000
29,"Dec 02, 2017",31.18,32.66,29.81,30.8,605113000,3055410000
30,"Dec 01, 2017",27.95,31.54,25.5,31.2,853735000,2737970000
31,"Nov 30, 2017",26.01,29.44,22.59,28.19,968075000,2546530000
32,"Nov 29, 2017",33.98,34.25,24.67,25.42,919393000,3326880000
33,"Nov 28, 2017",25.74,34.85,25.6,33.98,1640680000,2519340000
34,"Nov 27, 2017",22.16,26.55,21.7,25.75,718945000,2167620000
35,"Nov 26, 2017",21.73,22.61,21.35,22.22,494333000,2124930000
36,"Nov 25, 2017",21.33,22.75,20.21,21.71,370135000,2084820000
37,"Nov 24, 2017",18.26,21.76,18.07,21.45,373045000,1785000000
38,"Nov 23, 2017",18.02,18.77,17.77,18.23,186523000,1760670000
39,"Nov 22, 2017",17.74,18.15,17.73,17.99,93779000,1732980000
40,"Nov 21, 2017",18.4,18.47,17.28,17.8,186210000,1796380000
41,"Nov 20, 2017",17.94,18.68,17.84,18.39,147752000,1750630000
42,"Nov 19, 2017",17.73,18.07,17.58,17.92,110618000,1730450000
43,"Nov 18, 2017",17.21,18.12,17.0,17.72,159453000,1679120000
44,"Nov 17, 2017",16.77,17.58,16.76,17.24,150957000,1635500000
45,"Nov 16, 2017",17.5,17.5,16.39,16.88,182721000,1706140000
46,"Nov 15, 2017",17.84,17.92,17.21,17.55,149567000,1738580000
47,"Nov 14, 2017",16.08,18.74,16.08,17.87,449738000,1566510000
48,"Nov 13, 2017",15.31,16.66,14.47,16.11,350880000,1490890000
49,"Nov 12, 2017",19.46,21.75,15.04,15.18,697453000,1894610000
50,"Nov 11, 2017",14.62,19.81,14.59,19.42,958982000,1423270000
51,"Nov 10, 2017",14.19,15.35,13.92,14.6,299857000,1380350000
52,"Nov 09, 2017",13.98,14.5,13.9,14.21,129201000,1359370000
53,"Nov 08, 2017",14.09,14.43,13.73,14.02,139534000,1369880000
54,"Nov 07, 2017",14.14,14.99,13.58,13.92,173761000,1374590000
55,"Nov 06, 2017",13.3,15.64,13.13,14.33,435668000,1292090000
56,"Nov 05, 2017",11.86,14.23,11.8,13.24,333395000,1152170000
57,"Nov 04, 2017",12.63,12.65,11.23,11.89,149319000,1226190000
58,"Nov 03, 2017",10.24,12.73,10.2,12.66,146543000,993753000
59,"Nov 02, 2017",10.27,10.38,9.82,10.24,39190200,996639000
60,"Nov 01, 2017",10.6,10.67,10.25,10.26,30011800,1028310000
61,"Oct 31, 2017",10.87,10.94,10.62,10.62,27241200,1053730000
62,"Oct 30, 2017",10.84,10.97,10.8,10.87,20081700,1050600000
63,"Oct 29, 2017",10.59,11.2,10.59,10.86,65005200,1026380000
64,"Oct 28, 2017",10.4,10.68,10.29,10.55,24204100,1007430000
65,"Oct 27, 2017",10.49,10.56,10.32,10.38,21540100,1015860000
66,"Oct 26, 2017",10.62,10.72,10.46,10.5,18961900,1028580000
67,"Oct 25, 2017",10.58,10.75,10.3,10.63,25582600,1024260000
68,"Oct 24, 2017",10.28,10.99,10.0,10.6,41969800,994988000
69,"Oct 23, 2017",10.82,10.82,9.97,10.28,39358200,1046200000
70,"Oct 22, 2017",10.93,11.25,10.72,10.83,19648600,1057170000
71,"Oct 21, 2017",11.21,11.31,10.79,10.92,20451400,1083120000
72,"Oct 20, 2017",11.36,11.51,11.22,11.22,28250900,1097270000
73,"Oct 19, 2017",11.52,11.61,11.29,11.34,25045400,1112650000
74,"Oct 18, 2017",11.92,11.92,10.81,11.53,55644800,1151010000
75,"Oct 17, 2017",11.9,12.47,11.74,11.92,75268900,1148970000
76,"Oct 16, 2017",11.95,12.1,11.83,11.89,28608500,1153060000
77,"Oct 15, 2017",12.24,12.66,11.6,11.95,52181800,1180820000
78,"Oct 14, 2017",12.2,12.54,12.06,12.26,38425100,1176620000
79,"Oct 13, 2017",12.0,12.47,11.66,12.18,79837000,1157100000
80,"Oct 12, 2017",11.51,12.09,11.41,11.96,56959300,1109090000
81,"Oct 11, 2017",11.55,11.59,11.41,11.49,17991900,1112470000
82,"Oct 10, 2017",11.49,11.66,11.35,11.54,27818000,1107010000
83,"Oct 09, 2017",12.12,12.13,11.24,11.5,40264100,1166960000
84,"Oct 08, 2017",12.28,12.45,12.1,12.12,32447800,1181440000
85,"Oct 07, 2017",12.32,12.32,12.09,12.28,18414400,1185190000
86,"Oct 06, 2017",11.94,12.4,11.94,12.34,30320700,1148890000
87,"Oct 05, 2017",11.97,12.05,11.62,11.95,26552900,1150570000
88,"Oct 04, 2017",12.38,12.4,11.95,11.97,23010900,1190230000
