,Date,Open,High,Low,Close,Volume,Market Cap
0,"Dec 31, 2017",712.21,760.35,710.12,756.73,2554270000,68850800000
1,"Dec 30, 2017",753.82,753.82,685.23,717.26,3187780000,72856900000
2,"Dec 29, 2017",740.39,770.12,729.61,753.59,2648970000,71544300000
3,"Dec 28, 2017",762.21,763.32,701.19,737.02,2389150000,73637100000
4,"Dec 27, 2017",774.97,789.25,738.41,762.84,2100030000,74854100000
5,"Dec 26, 2017",763.37,786.79,760.93,773.84,2201160000,73717800000
6,"Dec 25, 2017",698.87,782.52,698.87,765.83,2491760000,67475100000
7,"Dec 24, 2017",721.77,721.77,614.92,694.15,2300550000,69671200000
8,"Dec 23, 2017",681.32,763.89,679.73,719.39,2480340000,65752100000
9,"Dec 22, 2017",822.64,827.68,543.76,674.86,4977710000,79374400000
10,"Dec 21, 2017",820.24,880.54,792.69,821.06,3569060000,79125300000
11,"Dec 20, 2017",827.52,845.06,756.0,819.09,3969940000,79810600000
12,"Dec 19, 2017",793.9,881.94,785.34,826.82,4096550000,76552200000
13,"Dec 18, 2017",721.73,803.93,689.23,794.64,3249230000,69578400000
14,"Dec 17, 2017",696.24,735.83,696.24,719.98,2147390000,67106400000
15,"Dec 16, 2017",686.19,718.38,680.79,696.21,2165690000,66124200000
16,"Dec 15, 2017",696.38,697.13,621.06,684.45,2758710000,67090900000
17,"Dec 14, 2017",700.59,753.12,664.99,695.82,3821580000,67482900000
18,"Dec 13, 2017",644.91,747.99,597.8,702.77,4524540000,62105600000
19,"Dec 12, 2017",522.29,657.32,504.49,651.43,5179830000,50286400000
20,"Dec 11, 2017",440.36,516.97,439.1,515.14,1771440000,42389300000
21,"Dec 10, 2017",472.79,472.79,429.51,441.72,1404180000,45501400000
22,"Dec 09, 2017",457.34,504.15,456.25,473.5,2003850000,44005600000
23,"Dec 08, 2017",434.99,466.06,422.37,456.03,2336380000,41845800000
24,"Dec 07, 2017",426.37,441.4,414.41,434.41,2129570000,41007600000
25,"Dec 06, 2017",462.6,462.71,420.21,428.59,1998260000,44483100000
26,"Dec 05, 2017",470.29,473.56,457.66,463.28,1216720000,45212800000
27,"Dec 04, 2017",466.05,474.78,453.31,470.2,1005550000,44795700000
28,"Dec 03, 2017",463.7,482.81,451.85,465.85,990557000,44560500000
29,"Dec 02, 2017",466.85,476.24,456.65,463.45,943650000,44853300000
30,"Dec 01, 2017",445.21,472.61,428.31,466.54,1247880000,42765000000
31,"Nov 30, 2017",431.21,465.5,401.24,447.11,1903040000,41411900000
