,Date,Open,High,Low,Close,Volume,Market Cap
0,"Dec 31, 2017",19.0,21.82,18.51,20.41,64758700,2213620000
1,"Dec 30, 2017",22.57,22.57,18.17,19.43,73691700,2628920000
2,"Dec 29, 2017",23.24,23.55,21.81,22.75,79199000,2705870000
3,"Dec 28, 2017",23.94,23.98,21.54,23.05,68268900,2786020000
4,"Dec 27, 2017",24.83,25.26,23.17,24.02,77179500,2889020000
5,"Dec 26, 2017",23.89,27.38,22.85,25.26,145958000,2778810000
6,"Dec 25, 2017",20.29,24.09,19.13,23.86,106194000,2359540000
7,"Dec 24, 2017",21.01,21.01,17.22,20.02,65224400,2442470000
8,"Dec 23, 2017",19.61,22.79,18.99,20.71,90698800,2278950000
9,"Dec 22, 2017",24.18,24.44,14.72,19.5,177588000,2809610000
10,"Dec 21, 2017",19.62,27.36,19.33,24.17,201110000,2278410000
11,"Dec 20, 2017",16.82,20.39,15.37,19.57,115660000,1953420000
12,"Dec 19, 2017",17.01,18.76,15.8,16.81,102730000,1974370000
13,"Dec 18, 2017",13.5,18.12,13.01,17.02,149703000,1566950000
14,"Dec 17, 2017",10.51,14.55,10.38,13.43,128034000,1219470000
15,"Dec 16, 2017",10.18,10.65,10.04,10.48,45189500,1181070000
16,"Dec 15, 2017",10.77,11.18,9.56,10.22,60658700,1248440000
17,"Dec 14, 2017",9.54,11.12,9.53,10.72,68330600,1105220000
18,"Dec 13, 2017",9.4,10.21,8.62,9.51,53217400,1089060000
19,"Dec 12, 2017",8.2,9.36,8.19,9.35,41474000,950373000
20,"Dec 11, 2017",7.94,8.54,7.84,8.17,28711700,919207000
21,"Dec 10, 2017",8.23,8.44,7.51,7.94,28777900,952954000
22,"Dec 09, 2017",8.05,8.73,7.91,8.21,30708500,931630000
23,"Dec 08, 2017",7.39,8.63,7.0,8.06,40878700,855170000
24,"Dec 07, 2017",8.58,8.95,7.36,7.36,53831400,992573000
25,"Dec 06, 2017",9.82,9.94,8.35,8.49,52262500,1135620000
26,"Dec 05, 2017",8.83,10.19,8.51,9.94,69110300,1020940000
27,"Dec 04, 2017",7.75,8.86,7.66,8.77,39137100,895777000
28,"Dec 03, 2017",7.72,8.31,7.38,7.74,22047600,891646000
29,"Dec 02, 2017",7.72,7.9,7.52,7.7,18663400,891575000
30,"Dec 01, 2017",7.48,7.95,7.12,7.73,24098300,863264000
31,"Nov 30, 2017",7.0,7.55,6.7,7.5,25251200,807876000
32,"Nov 29, 2017",7.83,8.03,6.72,6.9,34207700,903169000
33,"Nov 28, 2017",7.91,8.35,7.79,7.79,26685400,912326000
34,"Nov 27, 2017",7.49,8.06,7.49,7.89,29071700,863396000
