,Date,Open,High,Low,Close,Volume,Market Cap
0,"Dec 31, 2017",216.97,237.79,213.81,232.1,771042000,11835100000
1,"Dec 30, 2017",245.09,245.43,208.2,218.96,943667000,13364800000
2,"Dec 29, 2017",250.35,258.04,238.33,245.5,1392210000,13648200000
3,"Dec 28, 2017",272.13,273.18,231.38,249.93,2593240000,14831200000
4,"Dec 27, 2017",286.59,290.94,264.42,272.17,777138000,15615200000
5,"Dec 26, 2017",273.11,289.51,272.26,286.5,842993000,14876400000
6,"Dec 25, 2017",277.49,286.79,269.57,273.39,804377000,15111400000
7,"Dec 24, 2017",291.01,291.01,251.04,275.98,1122910000,15842900000
8,"Dec 23, 2017",269.27,312.67,261.64,288.27,1352580000,14655200000
9,"Dec 22, 2017",319.26,320.3,187.48,264.93,2938040000,17371200000
10,"Dec 21, 2017",314.66,339.74,299.53,317.46,1555940000,17116600000
11,"Dec 20, 2017",349.6,349.6,308.63,314.62,2104060000,19012500000
12,"Dec 19, 2017",359.13,375.29,335.68,350.25,2150480000,19525500000
13,"Dec 18, 2017",318.95,360.93,302.0,358.34,1966600000,17336500000
14,"Dec 17, 2017",301.78,332.59,301.78,318.72,1703580000,16398800000
15,"Dec 16, 2017",299.34,309.9,290.13,298.97,1291380000,16260700000
16,"Dec 15, 2017",280.97,316.41,251.22,299.78,2599940000,15258500000
17,"Dec 14, 2017",301.2,311.32,265.66,279.33,2114880000,16352400000
18,"Dec 13, 2017",315.36,341.8,287.48,302.6,3409790000,17116500000
19,"Dec 12, 2017",212.46,341.72,209.68,316.16,6961680000,11528600000
20,"Dec 11, 2017",148.26,225.29,147.34,214.2,2913980000,8042020000
21,"Dec 10, 2017",155.63,155.63,130.16,148.66,1087340000,8438840000
22,"Dec 09, 2017",127.48,171.55,126.59,155.24,2436540000,6910360000
23,"Dec 08, 2017",98.33,133.07,95.4,124.85,1515560000,5327910000
24,"Dec 07, 2017",99.98,101.34,92.27,98.29,645691000,5415710000
25,"Dec 06, 2017",102.48,104.82,97.31,100.35,547512000,5548860000
26,"Dec 05, 2017",104.28,104.3,101.84,102.4,328726000,5644390000
27,"Dec 04, 2017",101.4,104.24,96.53,104.24,331151000,5486740000
28,"Dec 03, 2017",100.19,106.39,98.1,101.26,364022000,5420380000
29,"Dec 02, 2017",98.94,103.8,98.32,100.28,402554000,5351330000
30,"Dec 01, 2017",88.0,100.41,83.74,99.0,561343000,4758600000
31,"Nov 30, 2017",86.25,93.54,78.08,88.33,481948000,4662340000
32,"Nov 29, 2017",96.01,104.61,81.77,85.57,786820000,5188580000
33,"Nov 28, 2017",91.72,96.03,90.34,96.03,388931000,4955290000
34,"Nov 27, 2017",85.89,93.29,85.89,91.6,429591000,4638580000
35,"Nov 26, 2017",88.94,88.94,84.02,85.93,357457000,4801830000
36,"Nov 25, 2017",77.91,89.37,77.52,88.82,487897000,4205220000
37,"Nov 24, 2017",73.14,77.97,72.81,77.97,287392000,3946910000
38,"Nov 23, 2017",71.98,76.4,70.9,73.22,315247000,3882950000
39,"Nov 22, 2017",70.18,71.95,70.18,71.89,157890000,3785260000
40,"Nov 21, 2017",72.2,72.53,68.11,70.03,231665000,3892860000
41,"Nov 20, 2017",71.41,72.92,70.79,72.25,188976000,3849390000
42,"Nov 19, 2017",69.51,72.98,68.6,71.59,243057000,3745710000
43,"Nov 18, 2017",67.41,69.77,65.71,69.64,174063000,3631120000
44,"Nov 17, 2017",70.45,71.12,65.78,67.57,350505000,3794080000
