,Date,Open,High,Low,Close,Volume,Market Cap
0,"Dec 31, 2017",329.0,356.77,327.41,349.03,101667000,5113910000
1,"Dec 30, 2017",378.52,378.52,319.61,330.8,140463000,5882180000
2,"Dec 29, 2017",381.3,387.56,358.07,377.37,173825000,5921340000
3,"Dec 28, 2017",422.51,422.51,359.49,378.9,162717000,6561210000
4,"Dec 27, 2017",381.3,442.6,381.3,421.85,250742000,5920710000
5,"Dec 26, 2017",361.08,384.77,357.27,381.54,161342000,5605310000
6,"Dec 25, 2017",339.69,365.87,323.2,360.78,119632000,5271820000
7,"Dec 24, 2017",391.01,391.01,297.09,337.06,134675000,6062810000
8,"Dec 23, 2017",349.76,417.65,344.38,382.04,190117000,5423160000
9,"Dec 22, 2017",419.53,423.42,255.67,346.11,334617000,6504920000
10,"Dec 21, 2017",470.29,470.29,390.55,417.98,354021000,7291030000
11,"Dec 20, 2017",375.71,476.4,329.95,469.2,498648000,5823300000
12,"Dec 19, 2017",381.07,406.03,346.94,377.24,317292000,5904690000
13,"Dec 18, 2017",353.07,381.51,332.09,381.51,217306000,5469410000
14,"Dec 17, 2017",328.06,365.24,327.27,351.37,278705000,5078920000
15,"Dec 16, 2017",312.61,331.54,311.71,327.32,164861000,4839760000
16,"Dec 15, 2017",325.61,326.08,296.08,312.32,163054000,5039870000
17,"Dec 14, 2017",303.26,335.53,301.4,325.21,261053000,4692810000
18,"Dec 13, 2017",307.43,330.35,284.74,305.75,248583000,4749580000
19,"Dec 12, 2017",281.49,319.9,281.19,308.07,271786000,4348820000
20,"Dec 11, 2017",244.95,281.03,244.14,279.67,152497000,3784310000
21,"Dec 10, 2017",262.9,262.9,220.77,245.33,142120000,4061590000
22,"Dec 09, 2017",277.27,281.4,250.39,262.53,161152000,4283550000
23,"Dec 08, 2017",281.31,284.86,250.65,276.74,201497000,4346000000
24,"Dec 07, 2017",277.87,300.32,263.17,280.86,299528000,4291850000
25,"Dec 06, 2017",268.16,316.67,260.61,278.69,543884000,4140770000
26,"Dec 05, 2017",211.13,272.64,208.89,269.48,352326000,3258360000
27,"Dec 04, 2017",199.56,210.24,192.04,210.24,74534400,3079850000
28,"Dec 03, 2017",203.37,209.09,191.25,200.05,111303000,3137680000
29,"Dec 02, 2017",190.83,205.26,186.68,203.03,80791100,2943520000
30,"Dec 01, 2017",179.72,191.85,169.76,190.94,70430500,2771380000
31,"Nov 30, 2017",170.49,195.39,156.53,180.14,128112000,2627490000
32,"Nov 29, 2017",203.91,214.28,165.33,168.15,178828000,3142680000
33,"Nov 28, 2017",175.35,203.21,173.17,203.21,179179000,2701720000
34,"Nov 27, 2017",162.92,173.39,159.95,173.39,81489700,2509520000
35,"Nov 26, 2017",168.57,168.72,159.76,163.37,61100400,2595920000
36,"Nov 25, 2017",160.0,170.1,160.0,168.44,64076700,2463190000
37,"Nov 24, 2017",158.62,162.94,156.76,160.03,69178000,2441330000
38,"Nov 23, 2017",166.11,172.92,156.45,158.61,109392000,2555950000
39,"Nov 22, 2017",142.08,173.45,141.14,165.95,189472000,2184930000
40,"Nov 21, 2017",136.1,142.21,131.37,141.74,72701500,2093010000
41,"Nov 20, 2017",129.5,140.55,128.49,135.76,59945400,1990900000
42,"Nov 19, 2017",130.72,133.62,127.21,129.48,42133000,2009180000
43,"Nov 18, 2017",126.59,135.01,123.53,130.8,62156400,1945200000
44,"Nov 17, 2017",120.02,126.7,119.25,126.7,47127700,1843600000
45,"Nov 16, 2017",121.24,128.09,118.5,120.31,74944100,1861940000
46,"Nov 15, 2017",122.24,124.72,119.19,121.37,49976700,1876740000
47,"Nov 14, 2017",123.62,124.2,118.63,122.35,53544800,1896990000
48,"Nov 13, 2017",128.96,136.53,120.92,123.4,116200000,1978840000
49,"Nov 12, 2017",119.6,133.68,110.62,123.86,144948000,1834630000
50,"Nov 11, 2017",105.75,127.11,103.88,119.62,107708000,1621800000
51,"Nov 10, 2017",121.34,121.67,101.76,105.59,84614000,1860390000
52,"Nov 09, 2017",112.53,123.41,112.22,120.78,86864600,1724820000
53,"Nov 08, 2017",99.82,115.94,99.14,113.31,79822900,1529550000
54,"Nov 07, 2017",104.23,104.75,95.05,99.76,81253300,1596750000
55,"Nov 06, 2017",86.42,102.92,86.15,102.92,103722000,1323540000
56,"Nov 05, 2017",87.31,88.04,86.04,86.35,27619800,1336790000
57,"Nov 04, 2017",87.9,88.48,85.5,87.3,23011500,1345360000
58,"Nov 03, 2017",83.53,90.14,83.53,87.99,37321100,1278080000
59,"Nov 02, 2017",85.66,86.08,81.68,83.76,48608100,1310390000
60,"Nov 01, 2017",87.65,88.2,84.73,85.72,36899300,1340360000
61,"Oct 31, 2017",88.75,89.33,87.6,87.64,28704900,1356840000
62,"Oct 30, 2017",88.59,90.49,88.04,88.84,28179100,1354090000
63,"Oct 29, 2017",86.27,90.36,86.27,88.65,38368700,1318160000
64,"Oct 28, 2017",86.91,87.76,85.71,86.31,25397400,1327650000
65,"Oct 27, 2017",88.58,89.19,86.43,86.75,27939000,1352700000
66,"Oct 26, 2017",88.17,89.87,88.02,88.58,23132200,1346070000
67,"Oct 25, 2017",88.49,101.29,85.82,88.13,59952100,1350650000
68,"Oct 24, 2017",85.16,92.35,83.47,88.4,42191100,1299330000
69,"Oct 23, 2017",86.48,86.92,82.89,85.21,26261800,1319200000
70,"Oct 22, 2017",88.18,89.04,85.52,86.58,27130000,1344760000
71,"Oct 21, 2017",90.41,90.41,86.58,88.12,25267200,1378290000
72,"Oct 20, 2017",88.71,92.73,88.07,90.54,38260700,1351990000
73,"Oct 19, 2017",89.66,92.48,87.91,88.62,35302300,1366060000
74,"Oct 18, 2017",91.19,91.26,86.54,89.54,36277100,1389050000
75,"Oct 17, 2017",95.93,96.94,90.72,91.28,43866200,1460870000
76,"Oct 16, 2017",94.99,97.97,93.05,95.9,32185000,1446090000
77,"Oct 15, 2017",99.94,100.81,91.6,94.87,34188200,1520300000
78,"Oct 14, 2017",95.06,103.13,93.73,100.23,38886100,1446050000
79,"Oct 13, 2017",87.23,96.77,85.53,95.13,63578800,1326720000
80,"Oct 12, 2017",87.56,88.63,86.46,87.09,32783200,1331450000
81,"Oct 11, 2017",86.74,88.25,85.8,87.42,21103400,1318540000
82,"Oct 10, 2017",85.61,88.41,84.27,86.82,31695500,1301030000
83,"Oct 09, 2017",89.74,90.12,83.76,85.49,38063700,1363380000
84,"Oct 08, 2017",91.39,92.2,89.74,89.77,29220800,1388030000
85,"Oct 07, 2017",90.94,92.05,89.57,91.7,22617600,1380750000
86,"Oct 06, 2017",91.91,92.94,90.23,91.19,24504100,1394580000
87,"Oct 05, 2017",90.49,92.45,88.14,91.86,27697400,1373110000
88,"Oct 04, 2017",92.95,93.65,89.05,90.41,29568100,1410000000
89,"Oct 03, 2017",91.52,94.81,87.21,92.96,44289800,1387960000
90,"Oct 02, 2017",93.56,93.8,90.98,91.54,27534700,1418400000
91,"Oct 01, 2017",95.59,95.74,91.77,93.22,25936500,1448800000
92,"Sep 30, 2017",94.44,96.33,94.07,95.76,28498000,1430900000
93,"Sep 29, 2017",97.3,97.78,91.22,94.5,38972400,1473750000
94,"Sep 28, 2017",100.97,101.14,95.48,97.23,41822000,1528970000
95,"Sep 27, 2017",92.75,102.91,92.64,101.04,51634900,1404030000
96,"Sep 26, 2017",93.81,95.31,91.6,93.13,32540800,1419730000
97,"Sep 25, 2017",89.37,94.23,89.12,93.64,28114300,1352120000
98,"Sep 24, 2017",91.76,91.81,88.0,89.5,22224000,1387760000
99,"Sep 23, 2017",88.03,92.12,86.96,91.85,26372900,1329730000
100,"Sep 22, 2017",86.17,89.54,84.33,88.17,28179100,1301560000
101,"Sep 21, 2017",95.33,95.75,85.17,86.24,34290500,1439880000
102,"Sep 20, 2017",97.64,98.09,93.37,95.57,34198900,1474840000
103,"Sep 19, 2017",100.83,101.28,93.7,97.72,48249700,1522630000
104,"Sep 18, 2017",93.81,102.02,93.81,100.57,63732100,1416250000
105,"Sep 17, 2017",94.97,96.36,89.22,93.74,41008200,1433270000
106,"Sep 16, 2017",100.11,106.12,91.41,95.29,71163500,1510430000
107,"Sep 15, 2017",83.13,103.69,73.17,99.85,176154000,1253940000
108,"Sep 14, 2017",111.29,120.39,82.65,83.04,133553000,1678110000
109,"Sep 13, 2017",111.81,113.16,102.39,111.33,88162900,1685390000
110,"Sep 12, 2017",112.72,115.69,110.49,111.89,40402700,1698640000
111,"Sep 11, 2017",113.05,116.24,110.47,112.75,30605900,1702970000
112,"Sep 10, 2017",115.64,115.77,103.17,112.33,50725200,1741490000
113,"Sep 09, 2017",118.19,119.73,113.17,116.27,39220400,1779350000
114,"Sep 08, 2017",120.28,132.57,113.3,118.04,159066000,1810210000
115,"Sep 07, 2017",121.39,124.76,116.6,120.84,62655700,1826360000
116,"Sep 06, 2017",118.78,122.31,114.32,121.63,64604400,1786650000
117,"Sep 05, 2017",106.75,122.63,95.81,118.82,113378000,1605070000
118,"Sep 04, 2017",126.23,126.23,101.73,106.17,89194700,1897480000
119,"Sep 03, 2017",124.93,129.29,115.74,126.01,92631100,1877380000
120,"Sep 02, 2017",141.35,141.4,121.96,124.8,128849000,2123430000
121,"Sep 01, 2017",140.65,150.09,136.49,141.2,163961000,2112260000
122,"Aug 31, 2017",131.95,141.97,131.21,140.41,131974000,1980860000
123,"Aug 30, 2017",133.84,135.83,124.06,132.38,106543000,2008790000
124,"Aug 29, 2017",144.24,144.5,128.02,133.03,104869000,2163850000
125,"Aug 28, 2017",130.76,154.58,129.06,145.4,216036000,1961250000
126,"Aug 27, 2017",137.59,138.88,124.81,130.68,92742200,2057550000
127,"Aug 26, 2017",107.46,148.36,105.28,138.05,301843000,1606920000
128,"Aug 25, 2017",86.47,108.36,85.34,108.26,95835700,1293030000
129,"Aug 24, 2017",90.35,93.77,79.35,86.29,70187100,1351030000
130,"Aug 23, 2017",91.01,99.71,85.51,90.33,84961900,1360920000
131,"Aug 22, 2017",77.99,95.51,72.53,91.16,150286000,1166240000
132,"Aug 21, 2017",54.67,95.08,52.87,77.82,238775000,817490000
133,"Aug 20, 2017",55.79,56.05,51.8,54.71,15702600,834239000
134,"Aug 19, 2017",46.97,58.03,46.97,55.96,27038800,702398000
135,"Aug 18, 2017",47.37,48.93,46.22,46.69,14517200,708081000
136,"Aug 17, 2017",48.82,49.46,47.05,47.45,11176000,729528000
137,"Aug 16, 2017",48.77,49.09,47.03,48.78,12423400,728672000
138,"Aug 15, 2017",49.97,50.16,45.72,48.74,13651100,746257000
139,"Aug 14, 2017",47.69,49.75,46.63,49.75,14023000,711941000
140,"Aug 13, 2017",49.38,50.15,45.46,47.76,19587800,737066000
141,"Aug 12, 2017",50.85,51.57,46.34,49.37,17349200,758739000
142,"Aug 11, 2017",49.31,51.56,48.93,50.65,8534390,735446000
143,"Aug 10, 2017",50.94,51.29,49.47,49.47,9147740,759514000
144,"Aug 09, 2017",51.94,53.34,49.74,50.96,11466600,774178000
145,"Aug 08, 2017",50.4,52.64,49.93,51.94,12471600,750929000
146,"Aug 07, 2017",47.67,50.21,47.24,50.21,12794900,710052000
147,"Aug 06, 2017",48.57,49.18,47.36,47.83,8254240,723258000
148,"Aug 05, 2017",45.18,49.49,45.18,48.58,12131400,672541000
