,Date,Open,High,Low,Close,Volume,Market Cap
0,"Dec 31, 2017",12.03,21.66,11.93,21.66,42716300,1603630000
1,"Dec 30, 2017",13.48,14.47,9.28,12.14,25575000,1796250000
2,"Dec 29, 2017",13.08,17.35,10.77,13.38,56887500,1743520000
3,"Dec 28, 2017",10.66,13.96,9.85,11.62,29875100,1420390000
4,"Dec 27, 2017",9.1,10.98,8.16,10.7,27586700,1212240000
5,"Dec 26, 2017",6.28,9.05,6.28,9.05,24968500,837437000
6,"Dec 25, 2017",4.77,6.63,4.75,6.52,12561700,636207000
7,"Dec 24, 2017",4.57,4.77,4.14,4.73,5428590,608774000
8,"Dec 23, 2017",4.41,4.8,4.03,4.52,5990190,587957000
9,"Dec 22, 2017",4.98,5.23,2.95,4.35,8725690,663226000
10,"Dec 21, 2017",4.03,5.44,4.02,4.93,15051400,537432000
11,"Dec 20, 2017",3.44,4.04,3.02,4.04,8339300,458545000
12,"Dec 19, 2017",2.79,3.66,2.68,3.44,9969490,371666000
13,"Dec 18, 2017",2.09,2.84,1.88,2.83,4372990,278002000
14,"Dec 17, 2017",2.48,2.51,1.63,2.09,5157020,330965000
15,"Dec 16, 2017",2.64,2.76,1.57,2.48,6144900,351134000
16,"Dec 15, 2017",2.84,2.93,2.06,2.64,5233780,378315000
17,"Dec 14, 2017",2.1,4.02,2.01,2.84,8719500,279690000
18,"Dec 13, 2017",1.63,2.1,1.55,2.1,5686990,217639000
19,"Dec 12, 2017",1.2,1.86,1.19,1.63,6865940,160335000
20,"Dec 11, 2017",0.869116,1.21,0.869116,1.2,2943420,115808000
21,"Dec 10, 2017",0.8201430000000001,1.05,0.72313,0.922739,4313070,109283000
22,"Dec 09, 2017",0.66808,0.8125020000000001,0.6391319999999999,0.80908,1597400,89020500
23,"Dec 08, 2017",0.63388,0.6775359999999999,0.538261,0.661267,1262850,84463400
24,"Dec 07, 2017",0.651213,0.755526,0.552033,0.639642,2527980,86773000
25,"Dec 06, 2017",0.363205,0.766699,0.360624,0.631483,3341920,48396500
26,"Dec 05, 2017",0.37445100000000003,0.398754,0.320137,0.387276,683363,49894900
27,"Dec 04, 2017",0.295128,0.421154,0.293229,0.37401999999999996,1076690,39325400
28,"Dec 03, 2017",0.240017,0.324988,0.233868,0.293032,448045,31981800
29,"Dec 02, 2017",0.229121,0.246531,0.225162,0.237844,221284,30529900
30,"Dec 01, 2017",0.20686300000000002,0.23507399999999998,0.189823,0.22932199999999997,422073,27564100
31,"Nov 30, 2017",0.19775,0.215034,0.17183199999999998,0.20730500000000002,285874,26349900
32,"Nov 29, 2017",0.225325,0.236916,0.182315,0.19479000000000002,278909,30024200
33,"Nov 28, 2017",0.178333,0.24438800000000002,0.177172,0.225527,467912,23762500
34,"Nov 27, 2017",0.174378,0.183595,0.171526,0.17790999999999998,276275,23235500
35,"Nov 26, 2017",0.171272,0.178984,0.167597,0.174298,226182,22821600
36,"Nov 25, 2017",0.15900799999999998,0.172993,0.154246,0.16964200000000002,219523,21187500
37,"Nov 24, 2017",0.15046199999999998,0.158864,0.14784,0.158152,198687,20048800
38,"Nov 23, 2017",0.148084,0.157111,0.145017,0.150802,195532,19731900
39,"Nov 22, 2017",0.140835,0.15224400000000002,0.13585999999999998,0.148447,156069,18766000
40,"Nov 21, 2017",0.150269,0.15196700000000002,0.137269,0.140725,143897,20023100
41,"Nov 20, 2017",0.148285,0.15573599999999999,0.144541,0.150265,167063,19758700
42,"Nov 19, 2017",0.150241,0.152617,0.140093,0.148427,159254,20019400
43,"Nov 18, 2017",0.150948,0.153875,0.142593,0.15046500000000002,150746,20113500
