,Date,Open,High,Low,Close,Volume,Market Cap
0,"Dec 31, 2017",482.82,516.36,478.63,505.51,95277100,1424590000
1,"Dec 30, 2017",574.1,574.1,478.66,486.45,143776000,1689880000
2,"Dec 29, 2017",507.97,601.5,483.99,571.9,227427000,1491580000
3,"Dec 28, 2017",552.58,560.12,490.4,507.26,129796000,1618580000
4,"Dec 27, 2017",574.16,590.16,540.62,554.07,143217000,1677730000
5,"Dec 26, 2017",560.0,573.98,551.84,573.98,139397000,1632270000
6,"Dec 25, 2017",536.13,575.16,511.03,558.84,139365000,1558920000
7,"Dec 24, 2017",595.39,595.39,449.03,532.5,142136000,1726960000
8,"Dec 23, 2017",542.19,637.24,498.77,594.62,231311000,1568750000
9,"Dec 22, 2017",652.92,656.02,381.48,536.68,351521000,1884510000
10,"Dec 21, 2017",674.66,743.96,622.92,651.49,279558000,1942370000
11,"Dec 20, 2017",613.29,740.69,555.81,675.55,305316000,1761330000
12,"Dec 19, 2017",595.79,635.55,560.39,613.91,287417000,1706810000
13,"Dec 18, 2017",538.45,600.69,497.31,596.16,348897000,1538680000
14,"Dec 17, 2017",471.63,562.0,470.36,537.18,305008000,1344370000
15,"Dec 16, 2017",469.39,498.33,459.92,469.64,150140000,1334630000
16,"Dec 15, 2017",510.82,510.82,423.73,467.15,220484000,1448690000
17,"Dec 14, 2017",416.41,529.77,415.5,510.91,423033000,1177960000
18,"Dec 13, 2017",372.13,437.24,356.12,414.69,265914000,1050030000
19,"Dec 12, 2017",320.55,379.12,320.55,373.03,191288000,902200000
20,"Dec 11, 2017",290.03,323.36,284.7,319.96,115200000,814205000
21,"Dec 10, 2017",317.28,321.55,288.4,291.1,107504000,888438000
22,"Dec 09, 2017",327.78,353.35,309.25,316.63,132799000,915507000
23,"Dec 08, 2017",308.04,339.99,295.02,328.07,127793000,858140000
24,"Dec 07, 2017",339.87,341.8,301.87,308.39,125668000,944355000
25,"Dec 06, 2017",322.92,372.85,319.57,338.87,206504000,895026000
26,"Dec 05, 2017",330.96,331.05,319.0,323.39,72757600,914876000
27,"Dec 04, 2017",323.08,333.39,316.02,330.51,61649200,890812000
28,"Dec 03, 2017",329.53,341.84,311.27,322.81,85387900,906261000
29,"Dec 02, 2017",335.38,342.73,320.11,329.3,63555100,919935000
30,"Dec 01, 2017",306.19,338.11,292.63,335.98,78854200,837670000
31,"Nov 30, 2017",309.42,330.78,267.7,308.49,93494200,844333000
32,"Nov 29, 2017",371.17,380.57,300.73,306.07,157702000,1010140000
33,"Nov 28, 2017",347.66,375.42,346.12,371.24,127136000,943652000
34,"Nov 27, 2017",340.18,347.51,332.85,347.51,90891200,920947000
35,"Nov 26, 2017",344.83,346.8,333.71,340.14,81416400,931073000
36,"Nov 25, 2017",348.59,359.86,336.84,344.7,120059000,938711000
37,"Nov 24, 2017",310.44,351.5,301.56,346.36,153182000,833750000
38,"Nov 23, 2017",319.45,320.54,303.16,311.55,102568000,855647000
39,"Nov 22, 2017",290.89,321.28,290.89,319.73,139325000,777089000
40,"Nov 21, 2017",301.87,307.82,281.85,290.64,82637900,804205000
41,"Nov 20, 2017",299.32,304.26,296.36,302.17,55245200,795282000
42,"Nov 19, 2017",298.22,302.59,294.51,299.33,53157100,790267000
43,"Nov 18, 2017",290.83,304.79,287.2,298.15,61087000,768597000
44,"Nov 17, 2017",293.39,294.76,283.98,291.19,56387900,773268000
45,"Nov 16, 2017",290.25,320.95,288.5,294.91,173976000,762905000
46,"Nov 15, 2017",271.17,297.92,271.17,290.56,89937200,710792000
47,"Nov 14, 2017",265.58,275.89,263.64,271.44,52265100,694229000
48,"Nov 13, 2017",298.73,298.73,258.33,265.45,115940000,778787000
49,"Nov 12, 2017",253.63,288.67,231.68,288.67,119639000,659346000
50,"Nov 11, 2017",238.16,269.72,236.25,253.6,68016100,617454000
51,"Nov 10, 2017",261.95,272.76,231.58,237.88,78740400,677262000
52,"Nov 09, 2017",250.55,270.18,244.14,262.0,86573400,645990000
53,"Nov 08, 2017",240.13,252.35,238.26,250.6,60804200,617406000
54,"Nov 07, 2017",228.75,245.02,228.27,240.87,55446200,586502000
55,"Nov 06, 2017",225.65,236.34,222.34,228.69,47873100,576941000
56,"Nov 05, 2017",230.32,232.77,224.34,225.35,38159100,587210000
57,"Nov 04, 2017",232.63,234.51,224.81,230.39,36530200,591459000
58,"Nov 03, 2017",217.88,240.39,216.45,232.63,48622200,552362000
59,"Nov 02, 2017",222.91,224.15,212.09,218.16,47381200,563565000
60,"Nov 01, 2017",233.93,233.93,220.32,222.41,47917100,589719000
61,"Oct 31, 2017",239.86,239.93,231.72,233.01,38363600,602974000
62,"Oct 30, 2017",233.63,244.42,229.0,241.22,50794000,585624000
63,"Oct 29, 2017",231.63,238.78,224.64,234.33,59020900,578982000
64,"Oct 28, 2017",243.72,246.68,231.06,231.07,45309100,607479000
65,"Oct 27, 2017",233.33,255.91,227.84,244.52,131517000,579905000
66,"Oct 26, 2017",217.36,235.65,217.36,233.67,41638100,538633000
67,"Oct 25, 2017",215.9,227.99,208.75,217.69,44717900,533463000
68,"Oct 24, 2017",206.59,227.38,205.07,216.04,37788300,509003000
69,"Oct 23, 2017",213.41,213.42,201.15,206.52,26665700,524261000
70,"Oct 22, 2017",212.82,219.28,208.3,213.73,26263000,521286000
71,"Oct 21, 2017",222.05,223.39,208.83,212.46,37115000,542326000
72,"Oct 20, 2017",230.2,234.22,222.52,222.52,29093800,560579000
73,"Oct 19, 2017",229.39,237.61,224.75,230.07,30300100,556979000
74,"Oct 18, 2017",231.15,239.31,217.17,229.3,29137800,559570000
75,"Oct 17, 2017",233.11,250.28,227.69,231.28,60696400,562642000
76,"Oct 16, 2017",231.96,235.96,230.45,233.01,22198300,558212000
77,"Oct 15, 2017",240.66,240.66,228.25,232.63,25648400,577433000
78,"Oct 14, 2017",240.05,242.13,238.07,240.89,21199600,574275000
79,"Oct 13, 2017",227.05,251.0,222.6,240.05,62551500,541560000
80,"Oct 12, 2017",236.44,236.99,227.0,227.0,39391300,562261000
81,"Oct 11, 2017",235.32,240.14,231.64,236.13,20522300,557915000
82,"Oct 10, 2017",229.71,242.36,226.36,235.66,27876900,542934000
83,"Oct 09, 2017",241.46,242.47,226.57,229.49,33586100,569009000
84,"Oct 08, 2017",253.52,256.2,240.55,241.06,30469500,595599000
85,"Oct 07, 2017",257.25,257.56,246.53,253.98,30163700,602523000
86,"Oct 06, 2017",254.85,272.76,253.32,257.61,49397500,595099000
87,"Oct 05, 2017",237.64,265.84,227.9,254.82,48244700,553211000
88,"Oct 04, 2017",253.0,253.14,237.34,237.91,22195500,587108000
89,"Oct 03, 2017",258.16,260.0,238.33,252.94,36278200,597264000
90,"Oct 02, 2017",264.51,273.77,254.74,257.6,52062000,610037000
91,"Oct 01, 2017",277.35,279.68,263.94,263.94,33546100,637677000
92,"Sep 30, 2017",289.96,292.6,275.43,277.53,37283500,664608000
93,"Sep 29, 2017",311.49,311.49,272.38,290.12,71232100,711727000
94,"Sep 28, 2017",285.65,413.06,281.97,310.6,296921000,650661000
95,"Sep 27, 2017",231.26,296.87,229.84,285.36,130957000,525065000
96,"Sep 26, 2017",230.7,234.59,228.74,231.47,20525600,522161000
97,"Sep 25, 2017",205.65,233.6,205.41,230.77,32460800,463963000
98,"Sep 24, 2017",204.02,207.69,199.5,205.63,15176600,458828000
